scenario,method,info,algorithm,q,period,n,days,pinball,below_rate
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.072433575748792,0.5049019607843137
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.245615671944853,0.6274509803921569
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.9,all,577,67,1.7427881964915448,0.8648180242634316
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.502268289827756,0.9
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8633636765875743,0.7990196078431373
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9278665071218948,0.9019607843137256
clock_UTC_quote,linear,with_positioning,linear_qr,0.1,all,577,67,1.8796944452588564,0.1889081455805892
clock_UTC_quote,linear,with_positioning,linear_qr,0.1,2026-01,220,26,1.6552642788757574,0.1772727272727272
clock_UTC_quote,linear,with_positioning,linear_qr,0.1,2026-02,204,24,1.8372776141723317,0.142156862745098
clock_UTC_quote,linear,with_positioning,linear_qr,0.1,2026-03,153,17,2.2589602632061307,0.2679738562091503
clock_UTC_quote,linear,with_positioning,linear_qr,0.5,all,577,67,3.828072861070915,0.5563258232235702
clock_UTC_quote,linear,with_positioning,linear_qr,0.5,2026-01,220,26,3.434803660892225,0.6045454545454545
clock_UTC_quote,linear,with_positioning,linear_qr,0.5,2026-02,204,24,4.0929137374515925,0.5
clock_UTC_quote,linear,with_positioning,linear_qr,0.5,2026-03,153,17,4.040436817003293,0.5620915032679739
clock_UTC_quote,linear,with_positioning,linear_qr,0.9,all,577,67,1.7173114247920942,0.8821490467937608
clock_UTC_quote,linear,with_positioning,linear_qr,0.9,2026-01,220,26,1.509689879058865,0.9
clock_UTC_quote,linear,with_positioning,linear_qr,0.9,2026-02,204,24,1.808574275349975,0.8333333333333334
clock_UTC_quote,linear,with_positioning,linear_qr,0.9,2026-03,153,17,1.8941684087627,0.9215686274509804
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9146609819430973,0.1785095320623916
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7365798109101218,0.1818181818181818
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8974909976718144,0.142156862745098
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.1936187232411144,0.2222222222222222
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.5,all,577,67,3.9457802303469816,0.5771230502599654
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.505448068967734,0.6045454545454545
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.062008304627192,0.5
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.4239668208716285,0.6405228758169934
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.9,all,577,67,1.737841966354568,0.8717504332755632
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5015341405667206,0.9045454545454544
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8665514816653237,0.8088235294117647
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9060183098181775,0.9084967320261438
clock_UTC_quote,pca,without_positioning,linear_qr,0.1,all,577,67,1.861945262979372,0.1854419410745234
clock_UTC_quote,pca,without_positioning,linear_qr,0.1,2026-01,220,26,1.636331324002304,0.1681818181818181
clock_UTC_quote,pca,without_positioning,linear_qr,0.1,2026-02,204,24,1.8197847787011732,0.142156862745098
clock_UTC_quote,pca,without_positioning,linear_qr,0.1,2026-03,153,17,2.242571441853276,0.2679738562091503
clock_UTC_quote,pca,without_positioning,linear_qr,0.5,all,577,67,3.793118390751648,0.5528596187175043
clock_UTC_quote,pca,without_positioning,linear_qr,0.5,2026-01,220,26,3.4106095644005423,0.6
clock_UTC_quote,pca,without_positioning,linear_qr,0.5,2026-02,204,24,4.052057590388569,0.5
clock_UTC_quote,pca,without_positioning,linear_qr,0.5,2026-03,153,17,3.9978788160543366,0.5555555555555556
