scenario,method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
clock_UTC_quote,pca,0.5,ML_minus_linear,without_positioning,7,0.0685436250702684,1.8070520877331693,-0.016581375409664,0.1494388144405931,577,2000
clock_UTC_quote,pca,0.5,ML_minus_linear,with_positioning,7,0.1094478786137362,2.885432705728122,0.0186097279060023,0.1942891022395294,577,2000
clock_UTC_quote,pca,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,pca,0.9,add_positioning,quantile_lightgbm,3,0.0022899716817832,0.1331253815799297,-0.0188620326707174,0.0242432608405676,577,2000
clock_UTC_quote,pca,0.9,ML_minus_linear,without_positioning,3,0.0191796568397255,1.1275638179791618,-0.0293967330414268,0.0715403792297724,577,2000
clock_UTC_quote,pca,0.9,ML_minus_linear,with_positioning,3,0.0214696285215088,1.2621902731943335,-0.0207715656206879,0.0652201379563339,577,2000
clock_UTC_quote,pca,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,pca,0.9,add_positioning,quantile_lightgbm,7,0.0022899716817832,0.1331253815799297,-0.019165692271773,0.0214569779250986,577,2000
clock_UTC_quote,pca,0.9,ML_minus_linear,without_positioning,7,0.0191796568397255,1.1275638179791618,-0.0256366840962491,0.0749921478732043,577,2000
clock_UTC_quote,pca,0.9,ML_minus_linear,with_positioning,7,0.0214696285215088,1.2621902731943335,-0.0186556630052149,0.065301694463706,577,2000
clock_UTC_quote,ml,0.1,add_positioning,linear_qr,3,0.0005495512782127,0.0276241653040915,-0.0005641672479518,0.0016967350462166,577,2000
clock_UTC_quote,ml,0.1,add_positioning,quantile_lightgbm,3,-0.0099415850265847,-0.5231185397195874,-0.035043089800854,0.016397531066803,577,2000
clock_UTC_quote,ml,0.1,ML_minus_linear,without_positioning,3,-0.0889400681297323,-4.4707295598749575,-0.1938355350797592,0.0035825240496787,577,2000
clock_UTC_quote,ml,0.1,ML_minus_linear,with_positioning,3,-0.0994312044345298,-4.996704751729832,-0.2068759299568741,-0.0023958568686687,577,2000
clock_UTC_quote,ml,0.1,add_positioning,linear_qr,7,0.0005495512782127,0.0276241653040915,-0.0006643490256846,0.0018250670305794,577,2000
clock_UTC_quote,ml,0.1,add_positioning,quantile_lightgbm,7,-0.0099415850265847,-0.5231185397195874,-0.0323188855666131,0.0144006180547208,577,2000
clock_UTC_quote,ml,0.1,ML_minus_linear,without_positioning,7,-0.0889400681297323,-4.4707295598749575,-0.1614306711688747,-0.0186885749164585,577,2000
clock_UTC_quote,ml,0.1,ML_minus_linear,with_positioning,7,-0.0994312044345298,-4.996704751729832,-0.1684906242985165,-0.0320098508281039,577,2000
clock_UTC_quote,ml,0.5,add_positioning,linear_qr,3,0.0414263296229679,1.0741408564836157,-0.0146945780802952,0.1095838904640915,577,2000
clock_UTC_quote,ml,0.5,add_positioning,quantile_lightgbm,3,0.0164979583226552,0.4121646197477078,-0.0322940788136064,0.0610489203396004,577,2000
clock_UTC_quote,ml,0.5,ML_minus_linear,without_positioning,3,0.1460651229394902,3.787313954302668,0.065787881589766,0.2319553779365753,577,2000
clock_UTC_quote,ml,0.5,ML_minus_linear,with_positioning,3,0.1211367516391774,3.107568027894526,0.0422293423901435,0.1993602728740057,577,2000
clock_UTC_quote,ml,0.5,add_positioning,linear_qr,7,0.0414263296229679,1.0741408564836157,-0.01229990861006,0.0957472105730963,577,2000
clock_UTC_quote,ml,0.5,add_positioning,quantile_lightgbm,7,0.0164979583226552,0.4121646197477078,-0.0315673417080349,0.0583927097990601,577,2000
clock_UTC_quote,ml,0.5,ML_minus_linear,without_positioning,7,0.1460651229394902,3.787313954302668,0.0732619345241546,0.2203669161460417,577,2000
clock_UTC_quote,ml,0.5,ML_minus_linear,with_positioning,7,0.1211367516391774,3.107568027894526,0.0555550834670981,0.1900875339207369,577,2000
clock_UTC_quote,ml,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,ml,0.9,add_positioning,quantile_lightgbm,3,-0.0139739429118077,-0.7685893770698404,-0.0361894786207938,0.0069479690748707,577,2000
clock_UTC_quote,ml,0.9,ML_minus_linear,without_positioning,3,0.0257050411365715,1.434094173693346,-0.0186988018098414,0.0731845283744785,577,2000
clock_UTC_quote,ml,0.9,ML_minus_linear,with_positioning,3,0.0117310982247638,0.6544825011473212,-0.0275235274986623,0.0526634996509958,577,2000
clock_UTC_quote,ml,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,ml,0.9,add_positioning,quantile_lightgbm,7,-0.0139739429118077,-0.7685893770698404,-0.0318664960723285,0.0033556280204836,577,2000
clock_UTC_quote,ml,0.9,ML_minus_linear,without_positioning,7,0.0257050411365715,1.434094173693346,-0.0181252751132119,0.0707574832153748,577,2000
clock_UTC_quote,ml,0.9,ML_minus_linear,with_positioning,7,0.0117310982247638,0.6544825011473212,-0.0260326224282295,0.0524732060568383,577,2000
clock_UTC_quote,joint_linear,0.1,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,joint_linear,0.1,add_positioning,quantile_lightgbm,3,0.0243693931721558,1.2823713116447344,0.0029381561931688,0.0444774557108733,577,2000
clock_UTC_quote,joint_linear,0.1,ML_minus_linear,without_positioning,3,0.013031848659377,0.6904998738372894,-0.0500097632982691,0.0699527805755346,577,2000
clock_UTC_quote,joint_linear,0.1,ML_minus_linear,with_positioning,3,0.0374012418315328,1.9817259577710564,-0.0316101950886907,0.1009800446861203,577,2000
clock_UTC_quote,joint_linear,0.1,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,joint_linear,0.1,add_positioning,quantile_lightgbm,7,0.0243693931721558,1.2823713116447344,0.0045363842933826,0.0437373717415892,577,2000
clock_UTC_quote,joint_linear,0.1,ML_minus_linear,without_positioning,7,0.013031848659377,0.6904998738372894,-0.0445179218786182,0.068910644812471,577,2000
clock_UTC_quote,joint_linear,0.1,ML_minus_linear,with_positioning,7,0.0374012418315328,1.9817259577710564,-0.0294562670183764,0.1048732191547266,577,2000
clock_UTC_quote,joint_linear,0.5,add_positioning,linear_qr,3,0.0,0.0,-4.440892098500626e-16,0.0,577,2000
