variant,calibration,reference,seed,n,loss_bp,improvement_pct
original,raw,linear,20260925,509,2.011436067865011,10.807458718447782
original,raw,linear,20260926,509,2.0095623237529514,10.890545624234127
original,raw,linear,20260927,509,1.9984136993059145,11.384905928352717
original,raw,linear,20260928,509,2.0000211784023607,11.313625936927895
original,raw,threshold,20260925,509,2.011436067865011,13.113569869092789
original,raw,threshold,20260926,509,2.0095623237529514,13.19450852753521
original,raw,threshold,20260927,509,1.9984136993059145,13.676086935394505
original,raw,threshold,20260928,509,2.0000211784023607,13.60664991851307
original,calibrated,linear,20260925,509,1.864736537101706,14.773800915980829
original,calibrated,linear,20260926,509,1.8640657340007005,14.804459401774928
original,calibrated,linear,20260927,509,1.855987204136116,15.173681745439293
original,calibrated,linear,20260928,509,1.8638839781411758,14.812766398908483
original,calibrated,threshold,20260925,509,1.864736537101706,10.1707433617091
original,calibrated,threshold,20260926,509,1.8640657340007005,10.203057708918518
original,calibrated,threshold,20260927,509,1.855987204136116,10.59222171038854
original,calibrated,threshold,20260928,509,1.8638839781411758,10.211813366045352
own_scale,raw,linear,20260925,509,1.9902048032717676,11.140992234660875
own_scale,raw,linear,20260926,509,1.9901669592822169,11.142681899642003
own_scale,raw,linear,20260927,509,2.002985062241679,10.570377025018384
own_scale,raw,linear,20260928,509,1.987628109138513,11.256036919318134
own_scale,raw,threshold,20260925,509,1.9902048032717676,6.492326306815876
own_scale,raw,threshold,20260926,509,1.9901669592822169,6.494104366752396
own_scale,raw,threshold,20260927,509,2.002985062241679,5.891859317936998
own_scale,raw,threshold,20260928,509,1.987628109138513,6.613389563131711
own_scale,calibrated,linear,20260925,509,1.8653680209568904,14.222061915645423
own_scale,calibrated,linear,20260926,509,1.866507733311937,14.169652860313263
own_scale,calibrated,linear,20260927,509,1.8734051741149904,13.852477780919925
own_scale,calibrated,linear,20260928,509,1.8696122127998045,14.026895052576304
own_scale,calibrated,threshold,20260925,509,1.8653680209568904,6.5177755467305865
own_scale,calibrated,threshold,20260926,509,1.866507733311937,6.460659286030468
own_scale,calibrated,threshold,20260927,509,1.8734051741149904,6.1149966060337295
own_scale,calibrated,threshold,20260928,509,1.8696122127998045,6.305079451362494
