variant,calibration,reference,seed,fold,improvement_pct
own_scale,calibrated,linear,20260926,2026-01,14.39300851230878
own_scale,calibrated,linear,20260926,2026-02,18.762053047039416
own_scale,calibrated,linear,20260926,2026-03,-5.232993955396603
own_scale,calibrated,linear,20260927,2025-12,20.40075985055092
own_scale,calibrated,linear,20260927,2026-01,14.996786765477276
own_scale,calibrated,linear,20260927,2026-02,18.22718596910624
own_scale,calibrated,linear,20260927,2026-03,-4.662226647020584
own_scale,calibrated,linear,20260928,2025-12,20.789309561787327
own_scale,calibrated,linear,20260928,2026-01,15.782750628055997
own_scale,calibrated,linear,20260928,2026-02,18.02443730753035
own_scale,calibrated,linear,20260928,2026-03,-5.015482888419132
own_scale,calibrated,threshold,20260925,2025-12,11.590261637619415
own_scale,calibrated,threshold,20260925,2026-01,5.0322022610020944
own_scale,calibrated,threshold,20260925,2026-02,8.952381115494845
own_scale,calibrated,threshold,20260925,2026-03,-2.7376989285811337
own_scale,calibrated,threshold,20260926,2025-12,12.119078200910838
own_scale,calibrated,threshold,20260926,2026-01,4.205956266656297
own_scale,calibrated,threshold,20260926,2026-02,8.833211021809895
own_scale,calibrated,threshold,20260926,2026-03,-2.9267754648337974
own_scale,calibrated,threshold,20260927,2025-12,10.772035088792064
own_scale,calibrated,threshold,20260927,2026-01,4.8815828642523655
own_scale,calibrated,threshold,20260927,2026-02,8.232972883670463
own_scale,calibrated,threshold,20260927,2026-03,-2.3685167250246275
own_scale,calibrated,threshold,20260928,2025-12,11.20758572891588
own_scale,calibrated,threshold,20260928,2026-01,5.7610747762595675
own_scale,calibrated,threshold,20260928,2026-02,8.005444430050101
own_scale,calibrated,threshold,20260928,2026-03,-2.714031230250913
