model,n,positive,prevalence,mean_probability,brier,logloss,ap,auc,label
logistic_current_raw,1633,610,0.3735456215554195,0.371045538718104,0.2146114727601898,0.61895671470146,0.5386833752937452,0.6755861096421647,Logistic: current features
tcn_ensemble_raw,1633,610,0.3735456215554195,0.3302883927929544,0.2156403626390554,0.6214435267498152,0.5735240474344183,0.6716087367594507,TCN: 24-hour history
mlp_ensemble_raw,1633,610,0.3735456215554195,0.3447485406223208,0.2166311002088049,0.6233777389497968,0.5590547348029222,0.6654872361905677,MLP: current features
gru_ensemble_raw,1633,610,0.3735456215554195,0.3740101048860119,0.2177360815875728,0.6260625549645893,0.5271256109154374,0.6566687498998446,GRU: 24-hour history
tree_current_raw,1633,610,0.3735456215554195,0.2995288776260169,0.2281507411099242,0.6489197948199867,0.490573145459568,0.63706552569588,LightGBM: current features
recent28,1633,610,0.3735456215554195,0.3166447909285578,0.2335496665709712,0.6610938532113209,0.4416378076484815,0.5662019454192907,Recent 28-day frequency
logistic_flat_raw,1633,610,0.3735456215554195,0.3647410509318577,0.2378097536643052,0.7075876556045358,0.4948584662761948,0.6316042497956829,Logistic: 24-hour lags
