model,month,n,positive,prevalence,mean_probability,brier,logloss,ap,auc
logistic_local_raw,2025-11,656,177,0.2698170731707317,0.24389263588710694,0.22035711546624948,0.6618663156907617,0.27747065422669215,0.47994291308399084
logistic_local_raw,2025-12,682,201,0.29472140762463345,0.2436133201134588,0.20994748307829134,0.639240778990099,0.4241357354668866,0.6090441762083553
logistic_local_raw,2026-01,663,215,0.32428355957767724,0.1938752172035643,0.21667672606861546,0.6274407009340703,0.5415857739278738,0.6989825581395348
logistic_local_raw,2026-02,613,202,0.3295269168026101,0.24923152238859347,0.2270212796174505,0.652106999699295,0.3970565626061936,0.5945893859458938
logistic_local_raw,2026-03,379,199,0.525065963060686,0.30059190328161434,0.27560822777763105,0.7584516575969706,0.7210419119470141,0.697068676716918
logistic_local_cal,2025-11,656,177,0.2698170731707317,0.24389263588710694,0.22035711546624948,0.6618663156907617,0.27747065422669215,0.47994291308399084
logistic_local_cal,2025-12,682,201,0.29472140762463345,0.2430526684432467,0.2100049661079899,0.6394334866747234,0.4241357354668866,0.6090441762083553
logistic_local_cal,2026-01,663,215,0.32428355957767724,0.2820436644381069,0.19879848792385255,0.5818871020706577,0.5415857739278738,0.6989825581395348
logistic_local_cal,2026-02,613,202,0.3295269168026101,0.39718206353236263,0.22683593443949407,0.6452176277491102,0.3970565626061936,0.5945893859458938
logistic_local_cal,2026-03,379,199,0.525065963060686,0.3938150553794503,0.2415319306908289,0.6797501491700143,0.7210419119470141,0.697068676716918
logistic_reference_raw,2025-11,656,177,0.2698170731707317,0.35872177928028953,0.2266790867844018,0.6574956757503556,0.3281257356986279,0.5175919700883431
logistic_reference_raw,2025-12,682,201,0.29472140762463345,0.2550486140751748,0.2232173164048585,0.6839888762107945,0.33821605643693464,0.5096140917036439
logistic_reference_raw,2026-01,663,215,0.32428355957767724,0.2872039082361012,0.2011782177148026,0.5888969568049339,0.5093629671713024,0.6813849667774087
logistic_reference_raw,2026-02,613,202,0.3295269168026101,0.4224809521716694,0.22105198189104075,0.6333541307793583,0.4451753417072355,0.6412155814121557
logistic_reference_raw,2026-03,379,199,0.525065963060686,0.4243225266394759,0.2272558055837264,0.6493580279798188,0.7364331295940654,0.7104690117252931
logistic_reference_cal,2025-11,656,177,0.2698170731707317,0.35872177928028953,0.2266790867844018,0.6574956757503556,0.3281257356986279,0.5175919700883431
logistic_reference_cal,2025-12,682,201,0.29472140762463345,0.15479248373758914,0.2324798283115824,0.7461950580109757,0.33821605643693464,0.5096140917036439
logistic_reference_cal,2026-01,663,215,0.32428355957767724,0.3171613402556369,0.19969498159112442,0.5854528447483199,0.5093629671713024,0.6813849667774087
logistic_reference_cal,2026-02,613,202,0.3295269168026101,0.469311837542651,0.23189479314391723,0.6577207595800043,0.4451753417072355,0.6412155814121557
logistic_reference_cal,2026-03,379,199,0.525065963060686,0.3345697290411842,0.2537804182902276,0.7117843320958858,0.7364331295940654,0.7104690117252931
logistic_full_raw,2025-11,656,177,0.2698170731707317,0.283984136753178,0.21427740355011224,0.6395460580370245,0.3106900538242549,0.48404750952431497
logistic_full_raw,2025-12,682,201,0.29472140762463345,0.2583557099854326,0.22036930376206373,0.6759038589448582,0.38191627210205625,0.5112069589681529
logistic_full_raw,2026-01,663,215,0.32428355957767724,0.2822841350968282,0.20369566424153884,0.5971833356982228,0.5072998345792447,0.6664348006644518
logistic_full_raw,2026-02,613,202,0.3295269168026101,0.5035320834163535,0.24237071456946718,0.6809960356732813,0.4569393522096085,0.6391438413914383
logistic_full_raw,2026-03,379,199,0.525065963060686,0.4515617680607486,0.22125433385923932,0.6382222598428287,0.7341527628282719,0.712786152987158
logistic_full_cal,2025-11,656,177,0.2698170731707317,0.283984136753178,0.21427740355011224,0.6395460580370245,0.3106900538242549,0.48404750952431497
logistic_full_cal,2025-12,682,201,0.29472140762463345,0.21486842617913582,0.22129910763697339,0.6913365772067619,0.38191627210205625,0.5112069589681529
logistic_full_cal,2026-01,663,215,0.32428355957767724,0.30809495403989023,0.202214701163288,0.5932665495425906,0.5072998345792447,0.6664348006644518
