primary,candidate,reference,block_days,n,brier_improvement,relative_improvement_pct,low95,high95,p_centered,p_holm_primary
True,gru_ensemble_raw,tree_current_raw,5,1633,0.010414659522351407,4.56481511814751,-0.003243890835841079,0.0248091569079987,0.1575,0.1575
True,gru_ensemble_raw,logistic_flat_raw,5,1633,0.020073672076732357,8.44106339938797,0.0048899115682793795,0.034630190245182685,0.0085,0.0425
True,gru_ensemble_raw,recent28,5,1633,0.015813584983398445,6.77097305064788,-0.0004907365478356512,0.032647518275196394,0.0685,0.137
True,tcn_ensemble_raw,tree_current_raw,5,1633,0.012510378470868742,5.48338278894355,0.003392849631163634,0.023287169808863886,0.0135,0.054
True,tcn_ensemble_raw,logistic_flat_raw,5,1633,0.022169391025249688,9.322322017348473,0.003980544918562624,0.04145173160597277,0.017,0.054
True,tcn_ensemble_raw,recent28,5,1633,0.017909303931915775,7.66830635849933,0.008485949872502835,0.02971410189236457,0.0025,0.015
False,gru_ensemble_raw,logistic_current_raw,5,1633,-0.003124608827382984,-1.4559374609364288,-0.009464157198668983,0.0030749664912465414,0.333,
False,gru_ensemble_raw,mlp_ensemble_raw,5,1633,-0.0011049813787678958,-0.5100751358889992,-0.010797739318843522,0.007788491797654668,0.8315,
False,tcn_ensemble_raw,logistic_current_raw,5,1633,-0.0010288898788656515,-0.4794197931884792,-0.008328493775185351,0.007434279437759737,0.7985,
False,tcn_ensemble_raw,mlp_ensemble_raw,5,1633,0.000990737569749438,0.4573385671745619,-0.0033657811687584495,0.005776775754134899,0.6635,
True,gru_ensemble_raw,tree_current_raw,1,1633,0.010414659522351407,4.56481511814751,-1.520246739274124e-05,0.021868391904759577,0.068,
True,gru_ensemble_raw,logistic_flat_raw,1,1633,0.020073672076732357,8.44106339938797,0.006147461682790467,0.034297641327386344,0.0055,
True,gru_ensemble_raw,recent28,1,1633,0.015813584983398445,6.77097305064788,0.0020647679425908443,0.030316902166744833,0.027,
True,tcn_ensemble_raw,tree_current_raw,1,1633,0.012510378470868742,5.48338278894355,0.0033880679176522903,0.022001265531716597,0.008,
True,tcn_ensemble_raw,logistic_flat_raw,1,1633,0.022169391025249688,9.322322017348473,0.007746493843686123,0.03690780579751188,0.005,
True,tcn_ensemble_raw,recent28,1,1633,0.017909303931915775,7.66830635849933,0.008130237326073061,0.02838736836240179,0.002,
False,gru_ensemble_raw,logistic_current_raw,1,1633,-0.003124608827382984,-1.4559374609364288,-0.00907445245790627,0.0029343808349392587,0.313,
False,gru_ensemble_raw,mlp_ensemble_raw,1,1633,-0.0011049813787678958,-0.5100751358889992,-0.009135134595819303,0.0066705695256886076,0.777,
False,tcn_ensemble_raw,logistic_current_raw,1,1633,-0.0010288898788656515,-0.4794197931884792,-0.009089619828199329,0.006434174359128108,0.7835,
False,tcn_ensemble_raw,mlp_ensemble_raw,1,1633,0.000990737569749438,0.4573385671745619,-0.003237553542115921,0.004878936968777527,0.649,
True,gru_ensemble_raw,tree_current_raw,10,1633,0.010414659522351407,4.56481511814751,-0.005892731781665085,0.027235896207552138,0.211,
True,gru_ensemble_raw,logistic_flat_raw,10,1633,0.020073672076732357,8.44106339938797,0.007741963017370289,0.03376878897733504,0.0035,
True,gru_ensemble_raw,recent28,10,1633,0.015813584983398445,6.77097305064788,-0.004809204546336651,0.035578602110641754,0.12,
True,tcn_ensemble_raw,tree_current_raw,10,1633,0.012510378470868742,5.48338278894355,0.002256260763429414,0.02388388393646076,0.0195,
True,tcn_ensemble_raw,logistic_flat_raw,10,1633,0.022169391025249688,9.322322017348473,0.0054387059277066045,0.040525502192720955,0.013,
True,tcn_ensemble_raw,recent28,10,1633,0.017909303931915775,7.66830635849933,0.008212543310065584,0.02950242608725628,0.0025,
False,gru_ensemble_raw,logistic_current_raw,10,1633,-0.003124608827382984,-1.4559374609364288,-0.00889575049459367,0.0026442075472185153,0.286,
False,gru_ensemble_raw,mlp_ensemble_raw,10,1633,-0.0011049813787678958,-0.5100751358889992,-0.012878497755750866,0.009175475686857828,0.8395,
False,tcn_ensemble_raw,logistic_current_raw,10,1633,-0.0010288898788656515,-0.4794197931884792,-0.009386317848556888,0.008928766466043226,0.837,
False,tcn_ensemble_raw,mlp_ensemble_raw,10,1633,0.000990737569749438,0.4573385671745619,-0.0030928361524879783,0.005443783743868656,0.6695,
