primary,candidate,reference,block_days,n,brier_improvement,relative_improvement_pct,low95,high95,p_centered,p_holm_primary
True,tree_reference_cal,logistic_reference_cal,5,1655,-0.00814705338550306,-3.6369590939382612,-0.017863387339481143,0.0004864046930643691,0.081,0.243
True,tree_reference_cal,spline_reference_cal,5,1655,-0.005783408062715593,-2.5548368823181504,-0.02321113066992583,0.013570976143255463,0.5265,1.0
True,tree_reference_cal,recent28,5,1655,0.0009362087780476648,0.4016502524558541,-0.017022268909384648,0.017480968248664873,0.918,1.0
False,tree_reference_cal,tree_local_cal,5,1655,-0.007513278158550892,-3.344570263950197,-0.013566994823370043,-0.0022240311141980456,0.007,
False,tree_full_cal,tree_reference_cal,5,1655,-0.02526035110565918,-10.880843792975408,-0.03805432995604536,-0.012675799925197443,0.0005,
False,tree_reference_raw,logistic_reference_raw,5,1655,-0.01137618602905676,-5.303307253832104,-0.024188289380536483,-0.00035501638139771,0.0585,
False,tree_reference_raw,tree_local_raw,5,1655,0.0006158822608373533,0.2719088197149304,-0.0046332877788095245,0.005651250300100602,0.8235,
False,tree_full_raw,tree_reference_raw,5,1655,-0.008871895072198188,-3.9275750230904234,-0.016775875910419197,-0.001777506289738611,0.0225,
False,logistic_reference_raw,logistic_local_raw,5,1655,0.019492603357315397,8.330038324333541,0.0038614722210113064,0.03701390616492288,0.0205,
False,logistic_reference_raw,recent28,5,1655,0.018579386612963777,7.970888009759599,0.0034385972471882662,0.034441154613647114,0.0235,
False,logistic_reference_cal,logistic_local_cal,5,1655,-0.00503784440325363,-2.300706596279773,-0.012999328024943172,0.0034136097196907906,0.219,
False,tree_reference_cal,tree_reference_raw,5,1655,-0.006266991805859348,-2.774388142138712,-0.01885756937282438,0.005798549870513813,0.3365,
False,logistic_reference_cal,logistic_reference_raw,5,1655,-0.009496124449413047,-4.426867277594986,-0.01676453628993637,-0.0031672292215634704,0.0075,
False,tree_reference_cal,recent28_state,5,1655,0.0004553773523671214,0.19576884291027188,-0.016538260108977226,0.015294803765936026,0.9545,
True,tree_reference_cal,logistic_reference_cal,1,1655,-0.00814705338550306,-3.6369590939382612,-0.018502194210195545,0.0019496629963207377,0.1155,
True,tree_reference_cal,spline_reference_cal,1,1655,-0.005783408062715593,-2.5548368823181504,-0.02073755918446952,0.008170338974199375,0.4595,
True,tree_reference_cal,recent28,1,1655,0.0009362087780476648,0.4016502524558541,-0.01509752111340877,0.015862794657020715,0.903,
False,tree_reference_cal,tree_local_cal,1,1655,-0.007513278158550892,-3.344570263950197,-0.013867127916705725,-0.0015311416211473145,0.024,
False,tree_full_cal,tree_reference_cal,1,1655,-0.02526035110565918,-10.880843792975408,-0.03629120535691111,-0.0150505668982353,0.0005,
False,tree_reference_raw,logistic_reference_raw,1,1655,-0.01137618602905676,-5.303307253832104,-0.02328448362102827,-0.0009589450067161272,0.046,
False,tree_reference_raw,tree_local_raw,1,1655,0.0006158822608373533,0.2719088197149304,-0.004910034226448698,0.006299663450771968,0.8255,
False,tree_full_raw,tree_reference_raw,1,1655,-0.008871895072198188,-3.9275750230904234,-0.0155038472930852,-0.002799238804555283,0.011,
False,logistic_reference_raw,logistic_local_raw,1,1655,0.019492603357315397,8.330038324333541,0.00456394132436656,0.03555265975940407,0.014,
False,logistic_reference_raw,recent28,1,1655,0.018579386612963777,7.970888009759599,0.004780121416260866,0.033884720083042656,0.011,
False,logistic_reference_cal,logistic_local_cal,1,1655,-0.00503784440325363,-2.300706596279773,-0.012878695091026111,0.0032604835338806296,0.228,
False,tree_reference_cal,tree_reference_raw,1,1655,-0.006266991805859348,-2.774388142138712,-0.016997551767362565,0.003919161797903317,0.2445,
False,logistic_reference_cal,logistic_reference_raw,1,1655,-0.009496124449413047,-4.426867277594986,-0.01522426241144337,-0.004076192857210519,0.0015,
False,tree_reference_cal,recent28_state,1,1655,0.0004553773523671214,0.19576884291027188,-0.014037206991172715,0.014306483419276164,0.9575,
True,tree_reference_cal,logistic_reference_cal,10,1655,-0.00814705338550306,-3.6369590939382612,-0.01692665656477449,-0.0005659589869044775,0.051,
True,tree_reference_cal,spline_reference_cal,10,1655,-0.005783408062715593,-2.5548368823181504,-0.02488827727692006,0.015911011669300944,0.5835,
True,tree_reference_cal,recent28,10,1655,0.0009362087780476648,0.4016502524558541,-0.02059282521439019,0.01952199179801914,0.9275,
False,tree_reference_cal,tree_local_cal,10,1655,-0.007513278158550892,-3.344570263950197,-0.012603695768164416,-0.002252804610378373,0.003,
False,tree_full_cal,tree_reference_cal,10,1655,-0.02526035110565918,-10.880843792975408,-0.0414916530516178,-0.009471742508452924,0.001,
False,tree_reference_raw,logistic_reference_raw,10,1655,-0.01137618602905676,-5.303307253832104,-0.023598221833990293,0.0002160704008483852,0.0625,
False,tree_reference_raw,tree_local_raw,10,1655,0.0006158822608373533,0.2719088197149304,-0.004732468128892614,0.005630763865199219,0.8285,
False,tree_full_raw,tree_reference_raw,10,1655,-0.008871895072198188,-3.9275750230904234,-0.01876612488140135,-0.00034548537796952686,0.0565,
False,logistic_reference_raw,logistic_local_raw,10,1655,0.019492603357315397,8.330038324333541,0.002625423184342949,0.03760795899803306,0.033,
False,logistic_reference_raw,recent28,10,1655,0.018579386612963777,7.970888009759599,0.0022409431667972267,0.036108375662302135,0.033,
False,logistic_reference_cal,logistic_local_cal,10,1655,-0.00503784440325363,-2.300706596279773,-0.012500481375615815,0.0020199823908385564,0.1755,
False,tree_reference_cal,tree_reference_raw,10,1655,-0.006266991805859348,-2.774388142138712,-0.021799827463349127,0.006781065147411161,0.392,
False,logistic_reference_cal,logistic_reference_raw,10,1655,-0.009496124449413047,-4.426867277594986,-0.017262268796704228,-0.0026749887108474465,0.011,
False,tree_reference_cal,recent28_state,10,1655,0.0004553773523671214,0.19576884291027188,-0.019632665646739857,0.01665028536535096,0.965,
