model,month,n_train,n_test,last_training_target
logistic_current,2025-11,3241,656,2025-10-31 23:00:00+00:00
logistic_current,2025-12,3898,682,2025-11-30 23:00:00+00:00
logistic_current,2026-01,4585,641,2025-12-31 18:00:00+00:00
logistic_current,2026-02,5225,613,2026-01-31 23:00:00+00:00
logistic_current,2026-03,5833,379,2026-02-28 23:00:00+00:00
logistic_flat,2025-11,3241,656,2025-10-31 23:00:00+00:00
logistic_flat,2025-12,3898,682,2025-11-30 23:00:00+00:00
logistic_flat,2026-01,4585,641,2025-12-31 18:00:00+00:00
logistic_flat,2026-02,5225,613,2026-01-31 23:00:00+00:00
logistic_flat,2026-03,5833,379,2026-02-28 23:00:00+00:00
tree_current,2025-11,3241,656,2025-10-31 23:00:00+00:00
tree_current,2025-12,3898,682,2025-11-30 23:00:00+00:00
tree_current,2026-01,4585,641,2025-12-31 18:00:00+00:00
tree_current,2026-02,5225,613,2026-01-31 23:00:00+00:00
tree_current,2026-03,5833,379,2026-02-28 23:00:00+00:00
