model,month,epoch,training_logloss,validation_logloss
mlp_20260910,2025-11,2,0.5908570441593574,0.6436436772346497
mlp_20260910,2025-11,3,0.5460930351656871,0.6022582054138184
mlp_20260910,2025-11,4,0.5080750823895166,0.5757888555526733
mlp_20260910,2025-11,5,0.4719372020488666,0.5589659214019775
mlp_20260910,2025-11,6,0.4437618219637252,0.5495365262031555
mlp_20260910,2025-11,7,0.4147970340515537,0.5453061461448669
mlp_20260910,2025-11,8,0.3962205128702915,0.5460364818572998
mlp_20260910,2025-11,9,0.37794770467949346,0.5501965880393982
mlp_20260910,2025-11,10,0.36944900529866115,0.55733323097229
mlp_20260910,2025-11,11,0.36039506751328043,0.5690370202064514
mlp_20260910,2025-11,12,0.35757464431604524,0.5835705995559692
mlp_20260910,2025-11,13,0.3500564604179444,0.6030721068382263
mlp_20260910,2025-11,14,0.3473162397534922,0.6181864142417908
mlp_20260910,2025-12,1,0.6376774038815469,0.6481954455375671
mlp_20260910,2025-12,2,0.5870712951969143,0.6250954270362854
mlp_20260910,2025-12,3,0.5427925625178468,0.6085640788078308
mlp_20260910,2025-12,4,0.4990187293138632,0.5971688032150269
mlp_20260910,2025-12,5,0.46227800570219646,0.5891990661621094
mlp_20260910,2025-12,6,0.43282867124106794,0.5846123099327087
mlp_20260910,2025-12,7,0.41759342285515183,0.5830106139183044
mlp_20260910,2025-12,8,0.4022329821728905,0.5821449756622314
mlp_20260910,2025-12,9,0.39921421291767173,0.582747757434845
mlp_20260910,2025-12,10,0.39187285289549506,0.5834940671920776
mlp_20260910,2025-12,11,0.38920615136115183,0.5851085782051086
mlp_20260910,2025-12,12,0.3861706077907321,0.587258517742157
mlp_20260910,2025-12,13,0.38602808803937033,0.589397668838501
mlp_20260910,2025-12,14,0.3838652713580486,0.5911237597465515
mlp_20260910,2025-12,15,0.3797648806810089,0.5951577425003052
mlp_20260910,2026-01,1,0.6353567348505974,0.6350860595703125
mlp_20260910,2026-01,2,0.580697139826141,0.6153197884559631
mlp_20260910,2026-01,3,0.5312985284383207,0.6036803126335144
mlp_20260910,2026-01,4,0.4855058459269408,0.5976310968399048
mlp_20260910,2026-01,5,0.45429900650300675,0.5952450633049011
mlp_20260910,2026-01,6,0.43677382722004415,0.5959814786911011
mlp_20260910,2026-01,7,0.4269998683912598,0.5973471403121948
mlp_20260910,2026-01,8,0.42146533151603005,0.5984456539154053
mlp_20260910,2026-01,9,0.4195414587550773,0.5974488854408264
mlp_20260910,2026-01,10,0.4153273663465465,0.6008408069610596
mlp_20260910,2026-01,11,0.4133578296219674,0.6027135252952576
mlp_20260910,2026-01,12,0.41115343923403885,0.6048041582107544
mlp_20260910,2026-02,1,0.6339669530928989,0.6444823741912842
mlp_20260910,2026-02,2,0.5751503160659303,0.6253532767295837
mlp_20260910,2026-02,3,0.5233758146406721,0.6104130148887634
mlp_20260910,2026-02,4,0.4783960093092618,0.603462815284729
mlp_20260910,2026-02,5,0.455798915959005,0.603449285030365
mlp_20260910,2026-02,6,0.4474893347936457,0.6064609885215759
mlp_20260910,2026-02,7,0.442656088822622,0.6098688840866089
mlp_20260910,2026-02,8,0.4382488598292463,0.6116905808448792
mlp_20260910,2026-02,9,0.43300648875408365,0.6155738234519958
mlp_20260910,2026-02,10,0.43297197943762805,0.6171694993972778
mlp_20260910,2026-02,11,0.43242379991945057,0.6177841424942017
mlp_20260910,2026-02,12,0.4308589042604772,0.6196622252464294
mlp_20260910,2026-03,1,0.6343865022933084,0.6441015005111694
mlp_20260910,2026-03,2,0.5705286336857737,0.6359238028526306
mlp_20260910,2026-03,3,0.5117215262531664,0.6342238187789917
mlp_20260910,2026-03,4,0.48006625031740474,0.6329749822616577
mlp_20260910,2026-03,5,0.46680378236268694,0.6299347281455994
mlp_20260910,2026-03,6,0.46069222553495015,0.6272948980331421
mlp_20260910,2026-03,7,0.4587458291635559,0.6253169178962708
mlp_20260910,2026-03,8,0.45562972724722905,0.6220704913139343
mlp_20260910,2026-03,9,0.45353134147288127,0.6196933388710022
mlp_20260910,2026-03,10,0.45068207836607427,0.618482768535614
mlp_20260910,2026-03,11,0.45170277160320554,0.6155411601066589
mlp_20260910,2026-03,12,0.44882187337396245,0.6154747605323792
mlp_20260910,2026-03,13,0.4476392026666249,0.6143885850906372
mlp_20260910,2026-03,14,0.4466665834102904,0.6166107058525085
mlp_20260910,2026-03,15,0.44366415459573555,0.6159377098083496
mlp_20260910,2026-03,16,0.44403360224226446,0.6155140995979309
mlp_20260910,2026-03,17,0.4430301334298969,0.6187495589256287
mlp_20260910,2026-03,18,0.44185178889612264,0.6217910647392273
mlp_20260910,2026-03,19,0.4419603934869812,0.6209477186203003
mlp_20260910,2026-03,20,0.4412816688831913,0.6222822666168213
mlp_20260911,2025-11,1,0.7432835095804766,0.7461572289466858
mlp_20260911,2025-11,2,0.6756842177628843,0.7015971541404724
mlp_20260911,2025-11,3,0.6095461899869287,0.6643545031547546
mlp_20260911,2025-11,4,0.5495864488926988,0.636319100856781
mlp_20260911,2025-11,5,0.491859134279637,0.6214208602905273
mlp_20260911,2025-11,6,0.44938384659445435,0.6194859743118286
mlp_20260911,2025-11,7,0.4181454582360509,0.6308485865592957
mlp_20260911,2025-11,8,0.3952851243689796,0.6535651087760925
mlp_20260911,2025-11,9,0.38063790736318576,0.6819788813591003
mlp_20260911,2025-11,10,0.37101690343960464,0.7094486355781555
mlp_20260911,2025-11,11,0.3655547077559851,0.7369242310523987
mlp_20260911,2025-11,12,0.35687434924370637,0.7619590759277344
mlp_20260911,2025-11,13,0.3528577166197218,0.7895340323448181
mlp_20260911,2025-12,1,0.7292860680317618,0.7433611750602722
mlp_20260911,2025-12,2,0.6532313358333601,0.7151734828948975
mlp_20260911,2025-12,3,0.5777740264345465,0.6892029643058777
mlp_20260911,2025-12,4,0.5176409337029823,0.6669612526893616
mlp_20260911,2025-12,5,0.47005168986523777,0.6491841077804565
mlp_20260911,2025-12,6,0.44304280166358806,0.6328144669532776
mlp_20260911,2025-12,7,0.4251917736030816,0.6213563680648804
mlp_20260911,2025-12,8,0.41406673316397996,0.6138402819633484
mlp_20260911,2025-12,9,0.4029858155895238,0.6077116131782532
mlp_20260911,2025-12,10,0.40209862005405683,0.6033288240432739
mlp_20260911,2025-12,11,0.3971277200202849,0.6000447869300842
mlp_20260911,2025-12,12,0.3936951797859387,0.5971300005912781
mlp_20260911,2025-12,13,0.3933533370204442,0.5953680276870728
mlp_20260911,2025-12,14,0.38937475191980564,0.5939441919326782
mlp_20260911,2025-12,15,0.3872535959811797,0.5937890410423279
mlp_20260911,2025-12,16,0.3870027893643722,0.5920580625534058
mlp_20260911,2025-12,17,0.38658642278809496,0.5917479991912842
mlp_20260911,2025-12,18,0.38283000300194836,0.5915640592575073
mlp_20260911,2025-12,19,0.38165476896440503,0.5915004014968872
mlp_20260911,2025-12,20,0.37751749088935527,0.5928488969802856
mlp_20260911,2025-12,21,0.3769557969724072,0.5912548899650574
mlp_20260911,2025-12,22,0.3763965849972236,0.5928341150283813
mlp_20260911,2025-12,23,0.3769456302422699,0.5930415391921997
mlp_20260911,2025-12,24,0.37255371847483765,0.5957821607589722
mlp_20260911,2025-12,25,0.37092963354741465,0.5959449410438538
mlp_20260911,2025-12,26,0.3713570671308055,0.5966920852661133
mlp_20260911,2025-12,27,0.3711209063045,0.5957826972007751
mlp_20260911,2025-12,28,0.3690768051597581,0.5961515307426453
mlp_20260911,2026-01,1,0.718811991191891,0.7078747153282166
mlp_20260911,2026-01,2,0.6313308255256741,0.6735464930534363
mlp_20260911,2026-01,3,0.5516982411243324,0.6482240557670593
mlp_20260911,2026-01,4,0.49582762094630517,0.6289771199226379
mlp_20260911,2026-01,5,0.46371892359321115,0.6160649657249451
mlp_20260911,2026-01,6,0.444348576790511,0.6053113341331482
mlp_20260911,2026-01,7,0.43599720541768505,0.5977425575256348
mlp_20260911,2026-01,8,0.4277611796434197,0.5930793285369873
mlp_20260911,2026-01,9,0.4260428076496697,0.5903609395027161
mlp_20260911,2026-01,10,0.41839239289295543,0.5892269611358643
mlp_20260911,2026-01,11,0.4179589934355678,0.5901978611946106
mlp_20260911,2026-01,12,0.41850144555404456,0.5903925895690918
mlp_20260911,2026-01,13,0.41512129021328625,0.5920442342758179
mlp_20260911,2026-01,14,0.4123218035174535,0.5938608050346375
mlp_20260911,2026-01,15,0.4088853371961533,0.5953665971755981
mlp_20260911,2026-01,16,0.41111226582539195,0.5988262295722961
mlp_20260911,2026-01,17,0.4073208144915516,0.6009989976882935
mlp_20260911,2026-02,1,0.7075122707934676,0.686970591545105
mlp_20260911,2026-02,2,0.6110647295901322,0.6455602645874023
mlp_20260911,2026-02,3,0.531551674713635,0.6190012693405151
mlp_20260911,2026-02,4,0.48656500720015,0.6069515943527222
mlp_20260911,2026-02,5,0.46463226521475853,0.6045743823051453
mlp_20260911,2026-02,6,0.4537500764073054,0.6061397194862366
mlp_20260911,2026-02,7,0.4464651605019712,0.6088060140609741
mlp_20260911,2026-02,8,0.4412309139436398,0.6108264923095703
mlp_20260911,2026-02,9,0.44018329876016854,0.6120643019676208
mlp_20260911,2026-02,10,0.4366648172069207,0.6133466958999634
mlp_20260911,2026-02,11,0.4343901345691524,0.6141074895858765
mlp_20260911,2026-02,12,0.4330152302035755,0.6138282418251038
mlp_20260911,2026-03,1,0.6968631158034767,0.7049584984779358
mlp_20260911,2026-03,2,0.5915964996529538,0.6804067492485046
mlp_20260911,2026-03,3,0.5188085907441007,0.6646511554718018
mlp_20260911,2026-03,4,0.4879987285410959,0.655895471572876
mlp_20260911,2026-03,5,0.472379390942423,0.6492478847503662
mlp_20260911,2026-03,6,0.46515322093187905,0.6446852684020996
mlp_20260911,2026-03,7,0.4608569725848841,0.6399001479148865
mlp_20260911,2026-03,8,0.4561163166721472,0.6364574432373047
mlp_20260911,2026-03,9,0.4553060166801562,0.6360224485397339
mlp_20260911,2026-03,10,0.45288362669602533,0.633411169052124
mlp_20260911,2026-03,11,0.45091951575575834,0.6325929164886475
mlp_20260911,2026-03,12,0.45094948946574087,0.6336840391159058
mlp_20260911,2026-03,13,0.45016371946015427,0.6338163018226624
mlp_20260911,2026-03,14,0.4469093568017038,0.6358223557472229
mlp_20260911,2026-03,15,0.4485000347748898,0.6336629986763
mlp_20260911,2026-03,16,0.4452133159146925,0.6331316828727722
mlp_20260911,2026-03,17,0.4449854495137502,0.6331480145454407
mlp_20260911,2026-03,18,0.4423533406497189,0.6356464624404907
gru_20260909,2025-11,1,0.7233136095199069,0.6562327146530151
gru_20260909,2025-11,2,0.639714078443218,0.6267994046211243
gru_20260909,2025-11,3,0.5497341292296285,0.5813150405883789
gru_20260909,2025-11,4,0.45068336679730125,0.5386318564414978
gru_20260909,2025-11,5,0.3739842307684161,0.5453646183013916
gru_20260909,2025-11,6,0.3485951745653565,0.5629192590713501
gru_20260909,2025-11,7,0.3372184033566913,0.5723550319671631
gru_20260909,2025-11,8,0.3302981035630476,0.5829228162765503
gru_20260909,2025-11,9,0.32409638684241565,0.5913597345352173
gru_20260909,2025-11,10,0.3178675879029772,0.608797013759613
gru_20260909,2025-11,11,0.31099716942980127,0.6016600728034973
gru_20260909,2025-12,1,0.7149558115237813,0.7309667468070984
gru_20260909,2025-12,2,0.6151364828288628,0.7286773324012756
gru_20260909,2025-12,3,0.5127779695133925,0.6585078835487366
gru_20260909,2025-12,4,0.41872996948523294,0.5826742053031921
gru_20260909,2025-12,5,0.38780276853042167,0.5865165591239929
gru_20260909,2025-12,6,0.3778030601183767,0.603294849395752
gru_20260909,2025-12,7,0.36979821342498465,0.6164565682411194
gru_20260909,2025-12,8,0.36314425805309075,0.6247550249099731
gru_20260909,2025-12,9,0.35715816020239577,0.6432377099990845
gru_20260909,2025-12,10,0.34977377089019523,0.6490245461463928
gru_20260909,2025-12,11,0.34290763692211146,0.6694381833076477
gru_20260909,2026-01,1,0.698196254037048,0.6808609366416931
gru_20260909,2026-01,2,0.578100486578377,0.6437780261039734
gru_20260909,2026-01,3,0.4715923872629922,0.5908756256103516
gru_20260909,2026-01,4,0.42194332903964993,0.5812978148460388
gru_20260909,2026-01,5,0.4109430393500669,0.579322099685669
gru_20260909,2026-01,6,0.40399473400961833,0.5831220149993896
gru_20260909,2026-01,7,0.39821012806567524,0.5872150659561157
gru_20260909,2026-01,8,0.39280012577072765,0.5910646319389343
gru_20260909,2026-01,9,0.3875587262530956,0.5983597636222839
gru_20260909,2026-01,10,0.3807037567779508,0.604644775390625
gru_20260909,2026-01,11,0.3742904737836148,0.6114590167999268
gru_20260909,2026-01,12,0.3664359067038638,0.6218761801719666
gru_20260909,2026-02,1,0.6918082168140569,0.6464482545852661
gru_20260909,2026-02,2,0.559623366146568,0.6121721863746643
gru_20260909,2026-02,3,0.46023126375504386,0.6132977604866028
gru_20260909,2026-02,4,0.43563748323498114,0.6136494874954224
gru_20260909,2026-02,5,0.42726124689157663,0.609917938709259
gru_20260909,2026-02,6,0.4213934438646849,0.6129850149154663
gru_20260909,2026-02,7,0.41556112923106575,0.6177659034729004
gru_20260909,2026-02,8,0.4098954517920018,0.6205530166625977
gru_20260909,2026-02,9,0.403347745738338,0.6285236477851868
gru_20260909,2026-02,10,0.39635249866230093,0.6300221085548401
gru_20260909,2026-02,11,0.3895334683057799,0.6454581022262573
gru_20260909,2026-02,12,0.3798284051317885,0.6555143594741821
gru_20260909,2026-03,1,0.6816653955952402,0.7326075434684753
gru_20260909,2026-03,2,0.5457184019385343,0.6970117092132568
gru_20260909,2026-03,3,0.4664204152805383,0.6453615427017212
gru_20260909,2026-03,4,0.451097314317831,0.6355100870132446
gru_20260909,2026-03,5,0.44370280272652657,0.634405255317688
gru_20260909,2026-03,6,0.438617987478749,0.6351114511489868
gru_20260909,2026-03,7,0.43344741280569415,0.6337510347366333
gru_20260909,2026-03,8,0.4279715395829324,0.6402003169059753
gru_20260909,2026-03,9,0.42236043925490674,0.6445317268371582
gru_20260909,2026-03,10,0.41552239022756876,0.6470340490341187
gru_20260909,2026-03,11,0.4080375192211005,0.661734938621521
gru_20260909,2026-03,12,0.3989534925901148,0.6713052988052368
gru_20260909,2026-03,13,0.3884315554034767,0.6771240234375
gru_20260909,2026-03,14,0.37846270349037137,0.7082106471061707
gru_20260910,2025-11,1,0.6411554563220347,0.6154371500015259
gru_20260910,2025-11,2,0.5939072326593445,0.6116830706596375
gru_20260910,2025-11,3,0.5487207776624128,0.6014253497123718
gru_20260910,2025-11,4,0.4913797613013369,0.5737097859382629
gru_20260910,2025-11,5,0.42031805739002864,0.5438752770423889
gru_20260910,2025-11,6,0.36832227159730024,0.584281861782074
gru_20260910,2025-11,7,0.34973425137095543,0.5946080088615417
gru_20260910,2025-11,8,0.34132301216737004,0.5964561104774475
gru_20260910,2025-11,9,0.332973094778251,0.5992753505706787
gru_20260910,2025-11,10,0.32566353148560456,0.6116037368774414
gru_20260910,2025-11,11,0.31868832607428893,0.6133543252944946
gru_20260910,2025-11,12,0.3120445828435115,0.6139537692070007
gru_20260910,2025-12,1,0.6396101331304255,0.6636182069778442
gru_20260910,2025-12,2,0.5826977467420766,0.6752533912658691
gru_20260910,2025-12,3,0.527056135228142,0.6709810495376587
gru_20260910,2025-12,4,0.46202748033800023,0.6200321316719055
gru_20260910,2025-12,5,0.4100697661288328,0.565560519695282
gru_20260910,2025-12,6,0.39053515463740757,0.5679271221160889
gru_20260910,2025-12,7,0.3811014095337179,0.5823265314102173
gru_20260910,2025-12,8,0.3734719137979919,0.5909566879272461
gru_20260910,2025-12,9,0.36664868555463914,0.6065548062324524
gru_20260910,2025-12,10,0.3599933344466968,0.6186597347259521
gru_20260910,2025-12,11,0.3537099350166669,0.6380606293678284
gru_20260910,2025-12,12,0.3470723641339812,0.6546099185943604
gru_20260910,2026-01,1,0.6338230291912118,0.6628425121307373
gru_20260910,2026-01,2,0.5651724928712232,0.6470845937728882
gru_20260910,2026-01,3,0.4967639332027589,0.6123301386833191
gru_20260910,2026-01,4,0.43671798900826364,0.587119460105896
gru_20260910,2026-01,5,0.41914585124444637,0.5857921242713928
gru_20260910,2026-01,6,0.4095177940428332,0.5867446064949036
gru_20260910,2026-01,7,0.4024506556229732,0.5912030935287476
gru_20260910,2026-01,8,0.39672912756902773,0.5965926647186279
gru_20260910,2026-01,9,0.3908618400787543,0.6014339923858643
gru_20260910,2026-01,10,0.3852195613482911,0.6088665127754211
gru_20260910,2026-01,11,0.37919760454251494,0.6168503165245056
gru_20260910,2026-01,12,0.37218803863708283,0.6263235807418823
gru_20260910,2026-02,1,0.6332136693851771,0.6448503136634827
gru_20260910,2026-02,2,0.5605269275796553,0.6225601434707642
gru_20260910,2026-02,3,0.49349141862410023,0.6049903631210327
gru_20260910,2026-02,4,0.4473359259221536,0.6110677719116211
gru_20260910,2026-02,5,0.43289182273346705,0.6101640462875366
gru_20260910,2026-02,6,0.42505866974993367,0.6116623878479004
gru_20260910,2026-02,7,0.41847650624594895,0.6118159890174866
gru_20260910,2026-02,8,0.41257375298869436,0.6193004846572876
gru_20260910,2026-02,9,0.40674436167432493,0.6260673403739929
gru_20260910,2026-02,10,0.4002515925591892,0.6288177967071533
gru_20260910,2026-03,1,0.6290508096297962,0.6904281377792358
gru_20260910,2026-03,2,0.5500997314042452,0.700632631778717
gru_20260910,2026-03,3,0.48516978982532993,0.6692410111427307
gru_20260910,2026-03,4,0.45713497178406237,0.6620477437973022
gru_20260910,2026-03,5,0.4468900045481595,0.6497796773910522
gru_20260910,2026-03,6,0.44065478521100643,0.6471284031867981
gru_20260910,2026-03,7,0.4354214730331202,0.6452863216400146
gru_20260910,2026-03,8,0.4296380400999881,0.6511585116386414
gru_20260910,2026-03,9,0.42347709522863325,0.6507546305656433
gru_20260910,2026-03,10,0.41571848554474317,0.6601817607879639
gru_20260910,2026-03,11,0.40517329282167425,0.6656954884529114
gru_20260910,2026-03,12,0.39299260712696604,0.6706828474998474
gru_20260910,2026-03,13,0.37894787144432796,0.7006663680076599
gru_20260910,2026-03,14,0.36506667384120267,0.7173700928688049
gru_20260911,2025-11,1,0.6063083189687768,0.6685260534286499
gru_20260911,2025-11,2,0.5517426626087805,0.661813497543335
gru_20260911,2025-11,3,0.49953029399171006,0.6395132541656494
gru_20260911,2025-11,4,0.44348466556607535,0.6012516021728516
gru_20260911,2025-11,5,0.390145831401297,0.5702621936798096
gru_20260911,2025-11,6,0.3594985496352247,0.5662944316864014
gru_20260911,2025-11,7,0.3477128783241615,0.5755347013473511
gru_20260911,2025-11,8,0.3395623773302786,0.5787315964698792
gru_20260911,2025-11,9,0.3319228627754361,0.5829057097434998
gru_20260911,2025-11,10,0.3254467767403062,0.5820991396903992
gru_20260911,2025-11,11,0.31795997694050654,0.5828264951705933
gru_20260911,2025-11,12,0.31046712218078737,0.5859804749488831
gru_20260911,2025-11,13,0.3035242585209627,0.5941494107246399
gru_20260911,2025-12,1,0.6039474425739841,0.6767293810844421
gru_20260911,2025-12,2,0.5400546574999151,0.6920952796936035
gru_20260911,2025-12,3,0.4827701696960412,0.662128746509552
gru_20260911,2025-12,4,0.42836758719437307,0.5959978103637695
gru_20260911,2025-12,5,0.3989506911999125,0.5699246525764465
gru_20260911,2025-12,6,0.3876995553197872,0.5753845572471619
gru_20260911,2025-12,7,0.3792952606216273,0.5871151089668274
gru_20260911,2025-12,8,0.37131671591159343,0.605160653591156
gru_20260911,2025-12,9,0.3639344108017586,0.622816264629364
gru_20260911,2025-12,10,0.3562682766136095,0.6346917152404785
gru_20260911,2025-12,11,0.3476170828876774,0.6595897674560547
gru_20260911,2025-12,12,0.33959438728937713,0.6745442748069763
gru_20260911,2026-01,1,0.595200518661757,0.638108491897583
gru_20260911,2026-01,2,0.5242934668497278,0.6288705468177795
gru_20260911,2026-01,3,0.46712472032423785,0.5964757800102234
gru_20260911,2026-01,4,0.4303322674543485,0.5706759095191956
gru_20260911,2026-01,5,0.41815544227563517,0.5664737820625305
gru_20260911,2026-01,6,0.4112801046164506,0.5653306841850281
gru_20260911,2026-01,7,0.40531902265253916,0.5655573606491089
gru_20260911,2026-01,8,0.3995707731354637,0.5666056275367737
gru_20260911,2026-01,9,0.39388786914701746,0.5686770081520081
gru_20260911,2026-01,10,0.387980519439306,0.5718728303909302
gru_20260911,2026-01,11,0.3818315172583474,0.5778672099113464
gru_20260911,2026-01,12,0.3740022613744738,0.5821500420570374
gru_20260911,2026-01,13,0.3651572697291373,0.5928672552108765
gru_20260911,2026-02,1,0.5933258046909254,0.6292023658752441
gru_20260911,2026-02,2,0.5161480592273392,0.6116994023323059
gru_20260911,2026-02,3,0.4619436442360276,0.6145211458206177
gru_20260911,2026-02,4,0.43886302989356374,0.6254404187202454
gru_20260911,2026-02,5,0.43099537410272293,0.6239302754402161
gru_20260911,2026-02,6,0.4244379109783479,0.6244127154350281
gru_20260911,2026-02,7,0.4189932177080261,0.626323401927948
gru_20260911,2026-02,8,0.41343700347441564,0.6276950836181641
gru_20260911,2026-02,9,0.4081266922920722,0.6340522766113281
gru_20260911,2026-03,1,0.5914306078002783,0.6963114142417908
gru_20260911,2026-03,2,0.5110088397270185,0.6914114952087402
gru_20260911,2026-03,3,0.4675677361271598,0.6529626846313477
gru_20260911,2026-03,4,0.45402815242703454,0.6398577690124512
gru_20260911,2026-03,5,0.44728632291538295,0.633625864982605
gru_20260911,2026-03,6,0.4414458307352933,0.6300324201583862
gru_20260911,2026-03,7,0.4364039868715277,0.6278281807899475
gru_20260911,2026-03,8,0.4317248442355526,0.6235047578811646
gru_20260911,2026-03,9,0.42634835125156567,0.6274223327636719
gru_20260911,2026-03,10,0.4204641872102564,0.6216129660606384
gru_20260911,2026-03,11,0.413480289518548,0.624284565448761
gru_20260911,2026-03,12,0.4053341782207124,0.6394067406654358
gru_20260911,2026-03,13,0.39355027654524627,0.6454014182090759
gru_20260911,2026-03,14,0.37907773524950567,0.6600561738014221
gru_20260911,2026-03,15,0.3606161695290981,0.6838071346282959
gru_20260911,2026-03,16,0.3391366263953122,0.7296528220176697
gru_20260911,2026-03,17,0.3184455359837655,0.7701358795166016
tcn_20260909,2025-11,1,0.45330360508269946,1.0881296396255493
tcn_20260909,2025-11,2,0.354343756545796,0.9003884196281433
tcn_20260909,2025-11,3,0.3345517656237347,1.0036356449127197
tcn_20260909,2025-11,4,0.3222412975177858,1.111198902130127
tcn_20260909,2025-11,5,0.3135334734138397,1.2393537759780884
tcn_20260909,2025-11,6,0.3033330825519275,1.2560712099075317
tcn_20260909,2025-11,7,0.29754813758557613,1.475592851638794
tcn_20260909,2025-11,8,0.2845348814973799,1.527748942375183
tcn_20260909,2025-11,9,0.2740344938287254,1.8770476579666138
tcn_20260909,2025-12,1,0.4832058940241601,0.7221786975860596
