scenario,h,month,n,days
NY_delay1,1,2025-06,133,19
NY_delay1,1,2025-07,147,21
NY_delay1,1,2025-08,147,21
NY_delay1,1,2025-09,154,22
NY_delay1,1,2025-10,161,23
NY_delay1,1,2025-11,120,20
NY_delay1,1,2025-12,132,22
NY_delay1,1,2026-01,126,21
NY_delay1,1,2026-02,120,20
NY_delay1,1,2026-03,89,14
NY_delay1,6,2025-06,38,19
NY_delay1,6,2025-07,42,21
NY_delay1,6,2025-08,42,21
NY_delay1,6,2025-09,44,22
NY_delay1,6,2025-10,46,23
NY_delay1,6,2025-11,20,20
NY_delay1,6,2025-12,22,22
NY_delay1,6,2026-01,21,21
NY_delay1,6,2026-02,20,20
NY_delay1,6,2026-03,22,14
NY_delay1,12,2025-06,75,15
NY_delay1,12,2025-07,84,17
NY_delay1,12,2025-08,80,16
NY_delay1,12,2025-09,90,18
NY_delay1,12,2025-10,90,18
NY_delay1,12,2025-11,64,16
NY_delay1,12,2025-12,72,17
NY_delay1,12,2026-01,74,16
NY_delay1,12,2026-02,68,16
NY_delay1,12,2026-03,55,11
NY_delay0,1,2025-06,132,19
NY_delay0,1,2025-07,147,21
NY_delay0,1,2025-08,147,21
NY_delay0,1,2025-09,154,22
NY_delay0,1,2025-10,161,23
NY_delay0,1,2025-11,120,20
NY_delay0,1,2025-12,132,22
NY_delay0,1,2026-01,126,21
NY_delay0,1,2026-02,120,20
NY_delay0,1,2026-03,90,14
NY_delay0,6,2025-06,37,19
NY_delay0,6,2025-07,42,21
NY_delay0,6,2025-08,42,21
NY_delay0,6,2025-09,44,22
NY_delay0,6,2025-10,46,23
NY_delay0,6,2025-11,20,20
NY_delay0,6,2025-12,22,22
NY_delay0,6,2026-01,21,21
NY_delay0,6,2026-02,20,20
NY_delay0,6,2026-03,23,14
NY_delay0,12,2025-06,75,15
NY_delay0,12,2025-07,85,17
NY_delay0,12,2025-08,80,16
NY_delay0,12,2025-09,90,18
NY_delay0,12,2025-10,90,18
NY_delay0,12,2025-11,64,16
NY_delay0,12,2025-12,72,17
NY_delay0,12,2026-01,74,16
NY_delay0,12,2026-02,68,16
NY_delay0,12,2026-03,55,11
FX_UTC_delay1,1,2025-06,70,19
FX_UTC_delay1,1,2025-07,79,22
FX_UTC_delay1,1,2025-08,79,21
FX_UTC_delay1,1,2025-09,83,22
FX_UTC_delay1,1,2025-10,87,23
FX_UTC_delay1,1,2025-11,50,20
FX_UTC_delay1,1,2025-12,54,22
FX_UTC_delay1,1,2026-01,51,21
FX_UTC_delay1,1,2026-02,50,20
FX_UTC_delay1,1,2026-03,47,14
FX_UTC_delay1,6,2025-06,13,13
FX_UTC_delay1,6,2025-07,16,16
FX_UTC_delay1,6,2025-08,16,16
FX_UTC_delay1,6,2025-09,17,17
FX_UTC_delay1,6,2025-10,18,18
FX_UTC_delay1,6,2025-11,30,15
FX_UTC_delay1,6,2025-12,32,16
FX_UTC_delay1,6,2026-01,30,15
FX_UTC_delay1,6,2026-02,30,15
FX_UTC_delay1,6,2026-03,15,11
FX_UTC_delay1,12,2025-06,72,15
FX_UTC_delay1,12,2025-07,84,18
FX_UTC_delay1,12,2025-08,80,16
FX_UTC_delay1,12,2025-09,89,18
FX_UTC_delay1,12,2025-10,90,18
FX_UTC_delay1,12,2025-11,62,16
FX_UTC_delay1,12,2025-12,66,17
FX_UTC_delay1,12,2026-01,62,16
FX_UTC_delay1,12,2026-02,62,16
FX_UTC_delay1,12,2026-03,51,11
FX_KST_delay1,1,2025-06,139,15
FX_KST_delay1,1,2025-07,166,18
FX_KST_delay1,1,2025-08,160,16
FX_KST_delay1,1,2025-09,175,18
FX_KST_delay1,1,2025-10,180,18
FX_KST_delay1,1,2025-11,171,16
FX_KST_delay1,1,2025-12,181,17
FX_KST_delay1,1,2026-01,171,16
FX_KST_delay1,1,2026-02,171,16
FX_KST_delay1,1,2026-03,114,11
FX_KST_delay1,6,2025-06,136,15
FX_KST_delay1,6,2025-07,166,18
FX_KST_delay1,6,2025-08,160,16
FX_KST_delay1,6,2025-09,175,18
FX_KST_delay1,6,2025-10,180,18
FX_KST_delay1,6,2025-11,141,16
FX_KST_delay1,6,2025-12,146,17
FX_KST_delay1,6,2026-01,141,16
FX_KST_delay1,6,2026-02,141,16
FX_KST_delay1,6,2026-03,106,11
FX_KST_delay1,12,2025-06,60,15
FX_KST_delay1,12,2025-07,68,17
FX_KST_delay1,12,2025-08,64,16
FX_KST_delay1,12,2025-09,72,18
FX_KST_delay1,12,2025-10,72,18
FX_KST_delay1,12,2025-11,48,16
FX_KST_delay1,12,2025-12,52,16
FX_KST_delay1,12,2026-01,55,16
FX_KST_delay1,12,2026-02,51,16
FX_KST_delay1,12,2026-03,43,11
