scenario,definition,projection,h,q,model,info,n,days,loss_bp,below_rate,below_lo,below_hi,calibration_abs_error,predicted_q_mean_bp,realized_mean_bp,mean_start_bp
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,637,60,2.478652662680555,0.18681318681318682,0.14785970187848252,0.22685983397190293,0.08681318681318681,-11.604680542230398,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,637,60,2.449705297103149,0.18681318681318682,0.14949158584913946,0.22679927225202265,0.08681318681318681,-11.30669332226803,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,constant,base,637,60,2.584569304895321,0.21821036106750394,0.17532425572994517,0.2645909055149083,0.11821036106750393,-9.266536346234401,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,637,60,2.1693590288322073,0.18995290423861852,0.15024159089627648,0.2306687916474236,0.08995290423861851,-10.395715732194969,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,637,60,2.209417845266908,0.19937205651491366,0.1622050980746633,0.23723105917342868,0.09937205651491365,-10.222350423885361,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,linear,base,637,60,2.0268941305197243,0.16169544740973313,0.12542076394722537,0.20032558818068485,0.06169544740973312,-11.50434745000081,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,637,60,2.0586042028107276,0.16483516483516483,0.13021612271205477,0.20110734632808625,0.06483516483516483,-11.477008616815587,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,persistence,base,637,60,2.1584534171687584,0.1695447409733124,0.14751414377321642,0.19063788562554465,0.0695447409733124,-13.429262038455596,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,637,60,2.561287198381942,0.21350078492935637,0.17205318013867987,0.25737370749682653,0.11350078492935636,-9.376924116161621,-2.542189492383775,-2.759224420495999
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,637,60,2.561287198381942,0.21350078492935637,0.17205318013867987,0.25737370749682653,0.11350078492935636,-9.376924116161621,-2.542189492383775,-2.759224420495999
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,202,77,2.2855353013145883,0.19801980198019803,0.15137614678899083,0.2476212728081887,0.09801980198019802,-9.868646211196037,-1.2714779356853643,-1.7784577204496719
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,202,77,2.2712638054819876,0.2079207920792079,0.15841584158415842,0.25926926926926924,0.1079207920792079,-9.444323115273336,-1.2714779356853643,-1.7784577204496719
