scenario,definition,projection,h,q,model,info,fold,n,loss_bp,below_rate
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,2025-12,181,4.007093643791392,0.19889502762430938
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,2026-01,171,1.5828567813341483,0.21052631578947367
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,2026-02,171,2.037739178309737,0.13450292397660818
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,2026-03,114,2.056981469317259,0.21052631578947367
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,2025-12,181,3.9986203542212464,0.2154696132596685
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,2026-01,171,1.537439426136997,0.19298245614035087
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,2026-02,171,1.981110770038854,0.13450292397660818
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,2026-03,114,2.0617535666192066,0.21052631578947367
FX_KST_delay1,EQ,sequential,1,0.1,constant,base,2025-12,181,4.494187901728138,0.20441988950276244
FX_KST_delay1,EQ,sequential,1,0.1,constant,base,2026-01,171,1.5872417129291307,0.24561403508771928
FX_KST_delay1,EQ,sequential,1,0.1,constant,base,2026-02,171,1.8765075421200026,0.19298245614035087
FX_KST_delay1,EQ,sequential,1,0.1,constant,base,2026-03,114,2.110715038527412,0.23684210526315788
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,2025-12,181,3.2942138029972425,0.20441988950276244
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,2026-01,171,1.3164016803638459,0.19298245614035087
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,2026-02,171,1.937209682746388,0.14619883040935672
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,2026-03,114,2.0110654379979387,0.22807017543859648
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,2025-12,181,3.284487282589494,0.20441988950276244
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,2026-01,171,1.3149549399667642,0.19298245614035087
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,2026-02,171,2.0981766936856157,0.18128654970760233
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,2026-03,114,2.0110654379979387,0.22807017543859648
FX_KST_delay1,EQ,sequential,1,0.1,linear,base,2025-12,181,2.781310095900117,0.18232044198895028
FX_KST_delay1,EQ,sequential,1,0.1,linear,base,2026-01,171,1.2950367869645085,0.14035087719298245
FX_KST_delay1,EQ,sequential,1,0.1,linear,base,2026-02,171,1.992621796698693,0.11695906432748537
FX_KST_delay1,EQ,sequential,1,0.1,linear,base,2026-03,114,1.9782878594450506,0.22807017543859648
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,2025-12,181,2.8904173397436015,0.19337016574585636
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,2026-01,171,1.29767365780485,0.14035087719298245
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,2026-02,171,1.992621796698693,0.11695906432748537
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,2026-03,114,1.9782878594450506,0.22807017543859648
FX_KST_delay1,EQ,sequential,1,0.1,persistence,base,2025-12,181,2.2123576974223447,0.15469613259668508
FX_KST_delay1,EQ,sequential,1,0.1,persistence,base,2026-01,171,1.514462991979714,0.08187134502923976
FX_KST_delay1,EQ,sequential,1,0.1,persistence,base,2026-02,171,2.599386410200478,0.21637426900584794
FX_KST_delay1,EQ,sequential,1,0.1,persistence,base,2026-03,114,2.377454699388084,0.2543859649122807
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,2025-12,181,4.484882610989188,0.20441988950276244
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,2026-01,171,1.51613130312333,0.23976608187134502
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,2026-02,171,1.871240664843543,0.18128654970760233
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,2026-03,114,2.109961282964202,0.23684210526315788
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,2025-12,181,4.484882610989188,0.20441988950276244
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,2026-01,171,1.51613130312333,0.23976608187134502
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,2026-02,171,1.871240664843543,0.18128654970760233
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,2026-03,114,2.109961282964202,0.23684210526315788
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,2025-12,54,3.0936937023961053,0.25925925925925924
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,2026-01,51,1.673119246175986,0.21568627450980393
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,2026-02,50,2.321337090360208,0.18
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,2026-03,47,1.983462443897265,0.1276595744680851
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,2025-12,54,3.259238525624051,0.2962962962962963
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,2026-01,51,1.6853030736962311,0.21568627450980393
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,2026-02,50,2.166118000485202,0.18
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,2026-03,47,1.883830883848827,0.1276595744680851
FX_UTC_delay1,EQ,sequential,1,0.1,constant,base,2025-12,54,3.522151069661203,0.3148148148148148
FX_UTC_delay1,EQ,sequential,1,0.1,constant,base,2026-01,51,1.4195188966125454,0.19607843137254902
FX_UTC_delay1,EQ,sequential,1,0.1,constant,base,2026-02,50,2.2223258349117954,0.2
FX_UTC_delay1,EQ,sequential,1,0.1,constant,base,2026-03,47,2.670350426275716,0.2765957446808511
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,base,2025-12,54,3.5162344127413756,0.3148148148148148
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,base,2026-01,51,1.5839059267197637,0.21568627450980393
