scenario,definition,projection,h,q,high_downside,high_account,n,days,mean_start_bp,future_q10_bp,future_median_bp,mean_delta_bp,median_delta_bp,mean_btc_vol_bp,negative_start_n,remains_negative_rate,mean_log_volume_change,delta_local_bp,delta_quote_bp,delta_fx_bp,delta_market_bp,delta_g_bp
FX_KST_delay1,EQ,sequential,1,0.1,0,0,203,29,0.5687473922519055,-11.256765201413828,0.3592412161755232,0.04942726465973747,-0.3140499733740363,51.329134922158346,98,0.6020408163265306,-0.014530966668568015,0.4430329898559581,-0.01506514053453513,-1.3831652193394892,1.003491715641934,0.0011329190357998028
FX_KST_delay1,EQ,sequential,1,0.1,0,1,128,23,-2.442139595313978,-11.488255471301025,-2.6288797521798246,0.8294741157895418,1.4667920475230156,38.10011173167977,89,0.7303370786516854,0.03840684426424758,-0.4298938787732527,-0.09393929475618934,0.8964271127317525,0.45199367006209434,0.004886506525232074
FX_KST_delay1,EQ,sequential,1,0.1,1,0,131,21,-2.3700989788556934,-14.99411163905526,-3.7550697966730633,-0.34960104373997675,-0.2034010115877969,61.25712407845171,77,0.6233766233766234,-0.0965173340240101,-0.21737562643013922,-6.102006464263926e-05,-1.4806260918580691,1.347001205730214,0.0014604888828567187
FX_KST_delay1,EQ,sequential,1,0.1,1,1,175,25,-7.142884811730305,-17.94463517050004,-4.057960413695274,0.38767179651677486,0.3474256995016427,68.53369722981145,124,0.717741935483871,-0.09293397129824732,-0.11599193362376208,0.06365442777453185,0.9816589635546221,-0.5251870987350141,-0.016462562453797933
FX_UTC_delay1,EQ,sequential,1,0.1,0,0,58,26,1.3606908100393864,-12.646775623575094,0.7206361372420935,-0.21307147701136675,-1.7636474969678708,51.31288250350171,24,0.625,0.17309743363672278,1.5415951510729755,0.1203772064915517,-2.232229194041521,0.3781830782881737,-0.02099771882200962
FX_UTC_delay1,EQ,sequential,1,0.1,0,1,47,25,-2.2238892612728605,-11.165430850412388,-4.449252856108816,0.20274065532127178,1.7120601060582883,39.13371551819943,30,0.7666666666666667,0.15126386162705124,-1.7665424209168075,0.19322276723514945,1.771210890681981,0.03617388982252837,-0.031324471501516536
FX_UTC_delay1,EQ,sequential,1,0.1,1,0,42,23,-2.2970020639166573,-15.801040865908801,-2.5490632276191603,0.3853980070293016,-0.6636349802146553,57.96653374181247,30,0.7,0.13945150496780598,3.266597221657953,-0.19136253279458626,2.042391682992508,-4.727825629156425,-0.004402735670175316
FX_UTC_delay1,EQ,sequential,1,0.1,1,1,55,29,-4.312211719068983,-16.93918064541,-0.2681828593916636,1.6191370017039821,1.4997787376285974,70.83928990452405,38,0.6052631578947368,0.25151179034962473,0.3607661450399421,-0.053275237704321625,1.9445676726541454,-0.6328450226281874,-7.655565806208651e-05
NY_delay0,EQ,sequential,1,0.1,0,0,131,26,-0.8661977477148637,-13.905782566073835,-1.286125256311678,-0.06682270573358708,-1.035907333099482,46.68441707791644,74,0.5675675675675675,0.05397313721645333,1.2409872670244162,-0.1144805702695058,-1.360490902203102,0.14679972783752812,0.02036177187741573
NY_delay0,EQ,sequential,1,0.1,0,1,107,23,-1.9526820422080404,-11.223515706872888,-2.828271416782466,-0.03204872849899529,1.790095102678011,38.87694381584307,69,0.7681159420289855,0.01899182613783915,-0.00882286451062991,-0.08486671281157052,2.125019533016134,-2.0930631965090924,0.029684512316392995
NY_delay0,EQ,sequential,1,0.1,1,0,102,22,-1.2172467774582185,-17.669403491292645,-1.9596655737125954,-1.619368578113512,-2.1193778582163665,60.30783661964785,54,0.7037037037037037,0.04053508068431126,1.5087885326459434,-0.10940342131643517,-0.13689922612702335,-2.8998742942855857,0.018019830969923642
NY_delay0,EQ,sequential,1,0.1,1,1,128,31,-4.199228753887878,-15.85728409033866,-3.832270785629534,0.5219566193545128,0.5878469996678621,67.94147294800837,83,0.7108433734939759,0.09043622683129271,0.7133665750701423,-0.15099019868045074,0.7844798383694426,-0.8433867177932661,0.01848712238860497
NY_delay1,CAP,sequential,1,0.1,0,0,132,28,-0.7319216243211841,-11.980405945630203,-1.7054411152968143,-0.3617917678360609,-0.3023159989454587,47.147754189434316,69,0.7246376811594203,0.05101555719039151,0.1656688546406379,-0.2273586496258706,-1.1150289336467922,0.8012049866533877,0.013721974142705491
NY_delay1,CAP,sequential,1,0.1,0,1,109,24,-1.4430003616317222,-10.103948382813773,-1.6292628304714596,0.19246843586014326,0.0913601860587598,38.745549684895046,65,0.6461538461538462,-0.00600471236224274,0.44033885234946346,-0.18508142848122117,1.9725512522854336,-2.090373484076946,0.055033243783599924
NY_delay1,CAP,sequential,1,0.1,1,0,99,24,-2.1057738957433987,-13.047709050041853,-3.027103519689789,-0.40702551794208613,-1.491845857334267,60.67445577380664,60,0.7333333333333333,-0.01762537216949562,1.502469513534205,-0.20358886467392265,-1.0393108712252197,-0.6851203646506018,0.018525069073727474
NY_delay1,CAP,sequential,1,0.1,1,1,127,32,-2.1179417066345994,-10.703570131249123,-1.877104050488759,0.5542277886125718,1.4737420323736377,68.80020650735389,82,0.6707317073170732,-0.05942896543578933,1.0986518419682214,-0.13625660803078857,1.1252475080526334,-1.5494082893479006,0.015993335970330046
NY_delay1,CAP,sequential,6,0.1,0,0,26,20,-0.5296896062026532,-12.969129822891386,-1.5272999513420817,-1.6170645874108456,0.3189493902853715,46.92218549198823,12,0.8333333333333334,0.2053061023318134,5.684650993854901,-1.114271891102546,-12.275164533441808,6.0454515826102835,0.04226926066957118
NY_delay1,CAP,sequential,6,0.1,0,1,16,16,-0.7071274232371867,-9.883977507442253,-2.256600943843629,-1.6855112610271827,-1.9971910473670673,39.09869034550528,8,0.75,-0.10826699724511746,7.744396055838071,-1.198581691364697,6.0399755844475935,-14.535296506200496,0.26399529625222223
NY_delay1,CAP,sequential,6,0.1,1,0,11,10,-3.791433344533631,-11.595579021498756,-4.362312428839137,-0.26414628565659926,0.6807782478193181,59.94327970544575,7,0.7142857142857143,0.24158380260244225,9.998319625894498,-0.913201141368977,-3.6494696794545023,-5.813137306049184,0.11334221532402672
NY_delay1,CAP,sequential,6,0.1,1,1,32,31,-1.9908599273996812,-9.415370223352745,-3.510862757750963,0.8988154078237578,0.7154129110898788,63.705941278237155,21,0.5714285714285714,-0.16401740162484063,-0.9593067359434935,-0.9823626240957594,9.655927573773543,-6.9859463774719615,0.17050357156197324
NY_delay1,CAP,sequential,12,0.1,0,0,72,20,-0.6541247068164948,-11.154288883847858,-2.290771924123036,-2.017765708635985,-0.3922363175283188,48.4360231758748,39,0.7692307692307693,0.07184899636579356,-0.6806567903625675,-0.2231395664421848,-6.093797790664646,5.03157168806845,-0.051743249235395465
NY_delay1,CAP,sequential,12,0.1,0,1,50,17,-1.3924170038341073,-10.504895198349624,-3.7057356741339924,-1.303773001647253,-2.710850169441435,39.56385930087004,29,0.7241379310344828,0.27373995720319066,-2.577364068729243,0.6073292248220493,-3.280437884436801,4.3069661848523175,-0.36026645815605696
NY_delay1,CAP,sequential,12,0.1,1,0,60,18,-0.43680474209679865,-11.341823667361103,-3.173685904177454,-2.3209888074404903,-1.342495283768427,64.32040644683015,30,0.8,0.03352066684651588,-7.751969823717037,0.8088545969871016,8.962447672401629,-4.276929110127669,-0.06339214298484257
NY_delay1,CAP,sequential,12,0.1,1,1,87,28,-2.532831089042432,-8.453912485910097,-0.4016396903226536,2.177486538453949,1.906958774700336,61.00154270194075,55,0.6181818181818182,0.037509201067083324,-13.89132913425184,0.6778085611149501,-5.110977587354387,20.764991708089063,-0.2630070091448491
NY_delay1,EQ,joint,1,0.1,0,0,132,28,-0.29005538914718804,-13.155880280172877,-1.48139357747604,-0.5299633220737001,-0.54341098290161,47.147754189434316,72,0.6388888888888888,0.05101555719039151,0.1656688546406379,-0.2273586496258706,-1.1150289336467922,0.6318470144719235,0.014908392086529826
NY_delay1,EQ,joint,1,0.1,0,1,109,24,-2.393598607480184,-11.45305988850654,-2.7393438516372965,0.3244799626282914,1.9881176301161227,38.745549684895046,75,0.7866666666666666,-0.00600471236224274,0.44033885234946346,-0.18508142848122117,1.9725512522854336,-1.9455699601901681,0.04224124666497031
NY_delay1,EQ,joint,1,0.1,1,0,99,24,-2.0365902176037824,-18.44544045001206,-4.418594108633337,-2.18999393458945,-2.784425193859437,60.67445577380664,57,0.7368421052631579,-0.01762537216949562,1.502469513534205,-0.20358886467392265,-1.0393108712252197,-2.4643028166294916,0.014739104405252954
NY_delay1,EQ,joint,1,0.1,1,1,127,32,-4.711607437095492,-15.871967893388629,-3.787409003744756,0.40883590371564094,0.0120034231276306,68.80020650735389,86,0.686046511627907,-0.05942896543578933,1.0986518419682214,-0.13625660803078857,1.1252475080526334,-1.6967874652285184,0.017980626954016414
NY_delay1,EQ,sequential,1,0.1,0,0,132,28,-0.25276340695161703,-13.092932340790748,-1.4244503165672373,-0.5301032538195116,-0.552739040144667,47.147754189434316,71,0.6197183098591549,0.05101555719039151,0.1656688546406379,-0.2273586496258706,-1.1150289336467922,0.6319407436974035,0.01467473111523849
NY_delay1,EQ,sequential,1,0.1,0,1,109,24,-2.377845754020074,-11.448554001932862,-2.731833343752,0.3230590456113533,1.978373762636429,38.745549684895046,75,0.7866666666666666,-0.00600471236224274,0.44033885234946346,-0.18508142848122117,1.9725512522854336,-1.9463341303339727,0.041584499791835476
NY_delay1,EQ,sequential,1,0.1,1,0,99,24,-2.0227243806857884,-18.443341457662374,-4.422699930549529,-2.190825787266208,-2.7839584651550853,60.67445577380664,57,0.7368421052631579,-0.01762537216949562,1.502469513534205,-0.20358886467392265,-1.0393108712252197,-2.4649527862578666,0.014557221356870074
NY_delay1,EQ,sequential,1,0.1,1,1,127,32,-4.718146008923749,-15.873788978537943,-3.809987475948779,0.4080967428119092,0.0113941645565347,68.80020650735389,86,0.686046511627907,-0.05942896543578933,1.0986518419682214,-0.13625660803078857,1.1252475080526334,-1.697338200890154,0.017792201711920426
NY_delay1,EQ,sequential,6,0.1,0,0,26,20,2.3501017678634297,-14.496283240731628,-3.3282709680450093,-5.247599859785044,-3.4540356786350284,46.92218549198823,11,0.8181818181818182,0.2053061023318134,5.684650993854901,-1.114271891102546,-12.275164533441808,2.4051483384728245,0.052037232432833015
NY_delay1,EQ,sequential,6,0.1,0,1,16,16,-1.7534497476895208,-15.644710235270846,-1.003274680811922,-0.5455555349001904,-6.174068732480759,39.09869034550528,9,0.5555555555555556,-0.10826699724511746,7.744396055838071,-1.198581691364697,6.0399755844475935,-13.353813428672819,0.22246794485153032
NY_delay1,EQ,sequential,6,0.1,1,0,11,10,-2.8104443354207365,-19.896468896692262,-7.8240611372659,-5.280603830909381,-6.599068058602764,59.94327970544575,8,0.75,0.24158380260244225,9.998319625894498,-0.913201141368977,-3.6494696794545023,-10.812371948344575,0.09611931236663271
NY_delay1,EQ,sequential,6,0.1,1,1,32,31,-2.647454507368896,-11.278632145245219,-3.669298199633833,-1.5799223314046311,-0.7342568087667579,63.705941278237155,23,0.7391304347826086,-0.16401740162484063,-0.9593067359434935,-0.9823626240957594,9.655927573773543,-9.434391950594023,0.1402114054556457
NY_delay1,EQ,sequential,12,0.1,0,0,72,20,-0.22295874727315043,-14.000559756565096,-1.7427132000281107,-2.3670793521321953,-1.5963331685954443,48.4360231758748,40,0.7,0.07184899636579356,-0.6806567903625675,-0.2231395664421848,-6.093797790664646,4.652524694218454,-0.02200989888161006
NY_delay1,EQ,sequential,12,0.1,0,1,50,17,-1.7761695070364834,-14.616831313284099,-3.816619815838361,-0.768193944028125,-0.8980313406618952,39.56385930087004,36,0.6111111111111112,0.27373995720319066,-2.577364068729243,0.6073292248220493,-3.280437884436801,4.736177625353997,-0.2538988410386056
NY_delay1,EQ,sequential,12,0.1,1,0,60,18,-0.4868815153449931,-14.155670784868965,-2.992178932783152,-2.0377435411097102,-1.0319990896143079,64.32040644683015,27,0.6666666666666666,0.03352066684651588,-7.751969823717037,0.8088545969871016,8.962447672401629,-3.9971245605955903,-0.05995142618614177
NY_delay1,EQ,sequential,12,0.1,1,1,87,28,-6.336030438965808,-14.736905560033518,-2.0415803763651748,4.6779397027820515,5.71651344427852,61.00154270194075,63,0.6190476190476191,0.037509201067083324,-13.89132913425184,0.6778085611149501,-5.110977587354387,23.178440629721276,-0.17600276644896262
NY_delay1,PCA,sequential,1,0.1,0,0,132,28,-0.2573985417609209,-12.870417016516239,-1.4220914941125944,-0.5294995120456478,-0.584153063596399,47.147754189434316,71,0.6197183098591549,0.05101555719039151,0.1656688546406379,-0.2273586496258706,-1.1150289336467922,0.6325583114830102,0.014660905103495667
NY_delay1,PCA,sequential,1,0.1,0,1,109,24,-2.3664828407435174,-11.386147617898574,-2.6200089177199817,0.32446920143321556,2.012975583292169,38.745549684895046,75,0.7866666666666666,-0.00600471236224274,0.44033885234946346,-0.18508142848122117,1.9725512522854336,-1.9448345260942896,0.0414950513740154
NY_delay1,PCA,sequential,1,0.1,1,0,99,24,-2.017063039090383,-18.22874537329199,-4.380943423936781,-2.164940479761311,-2.664992608095852,60.67445577380664,57,0.7368421052631579,-0.01762537216949562,1.502469513534205,-0.20358886467392265,-1.0393108712252197,-2.4390016886006887,0.014491431204587586
NY_delay1,PCA,sequential,1,0.1,1,1,127,32,-4.699645337118592,-15.831827525650022,-3.658011595607311,0.40731505864600526,-0.0794187803107,68.80020650735389,86,0.686046511627907,-0.05942896543578933,1.0986518419682214,-0.13625660803078857,1.1252475080526334,-1.6980387707555644,0.017711087411426338
NY_delay1,PCA,sequential,6,0.1,0,0,26,20,2.304161280225651,-14.364000866795134,-3.419384143813279,-5.191428731314771,-3.4340088697778546,46.92218549198823,11,0.8181818181818182,0.2053061023318134,5.684650993854901,-1.114271891102546,-12.275164533441808,2.4613007522395476,0.05205594713638311
NY_delay1,PCA,sequential,6,0.1,0,1,16,16,-1.7351202555711136,-15.571342072371792,-0.9715478242441913,-0.5440583646937167,-6.013864328539373,39.09869034550528,9,0.5555555555555556,-0.10826699724511746,7.744396055838071,-1.198581691364697,6.0399755844475935,-13.351808461822102,0.2219601482072873
NY_delay1,PCA,sequential,6,0.1,1,0,11,10,-2.7932952750819693,-19.795056432988236,-7.765144269809309,-5.22386956651832,-6.40165937670309,59.94327970544575,8,0.75,0.24158380260244225,9.998319625894498,-0.913201141368977,-3.6494696794545023,-10.755194393862826,0.0956760222759471
NY_delay1,PCA,sequential,6,0.1,1,1,32,31,-2.6561578039771883,-11.183749243692171,-3.552000213972085,-1.55608885576047,-0.6765250211146658,63.705941278237155,23,0.7391304347826086,-0.16401740162484063,-0.9593067359434935,-0.9823626240957594,9.655927573773543,-9.410015038656416,0.1396679691622001
NY_delay1,PCA,sequential,12,0.1,0,0,72,20,-0.2242591299426421,-13.966018495286384,-1.6841728409055787,-2.345039790504479,-1.6553527845888176,48.4360231758748,40,0.7,0.07184899636579356,-0.6806567903625675,-0.2231395664421848,-6.093797790664646,4.674526706868153,-0.021972349903593067
NY_delay1,PCA,sequential,12,0.1,0,1,50,17,-1.7635090966638995,-14.545090582072866,-3.7852160793435967,-0.7839239029694798,-0.8884469078517925,39.56385930087004,36,0.6111111111111112,0.27373995720319066,-2.577364068729243,0.6073292248220493,-3.280437884436801,4.719938443036616,-0.25338961766258394
