threshold,threshold_bp,side,coin,period,n_prices,tail_points,scenario_exits,scenario_exit_share,median_scenario_movement_bp
q05,-12.803232638140472,lower,BTC,all,1865,248,0,0.0,0.018869259617565724
q05,-12.803232638140472,lower,BTC,2026-01,744,67,0,0.0,0.015021386784120178
q05,-12.803232638140472,lower,BTC,2026-02,672,96,0,0.0,0.019955698362246428
q05,-12.803232638140472,lower,BTC,2026-03,449,85,0,0.0,0.019378812175859305
q05,-12.803232638140472,lower,ETH,all,1865,248,20,0.08064516129032258,0.633211972995586
q05,-12.803232638140472,lower,ETH,2026-01,744,67,4,0.05970149253731343,0.44023773548350076
q05,-12.803232638140472,lower,ETH,2026-02,672,96,11,0.11458333333333333,0.6816632847457866
q05,-12.803232638140472,lower,ETH,2026-03,449,85,5,0.058823529411764705,0.6623613241530403
q05,-12.803232638140472,lower,XRP,all,1865,248,34,0.13709677419354838,0.9105395103779156
q05,-12.803232638140472,lower,XRP,2026-01,744,67,7,0.1044776119402985,0.6806193701894777
q05,-12.803232638140472,lower,XRP,2026-02,672,96,17,0.17708333333333334,0.9523810243674287
q05,-12.803232638140472,lower,XRP,2026-03,449,85,10,0.11764705882352941,0.9791921860223854
q05,-12.803232638140472,lower,SOL,all,1865,248,51,0.2056451612903226,1.4975665244822625
q05,-12.803232638140472,lower,SOL,2026-01,744,67,10,0.14925373134328357,1.0269576605614472
q05,-12.803232638140472,lower,SOL,2026-02,672,96,26,0.2708333333333333,1.5974444291571612
q05,-12.803232638140472,lower,SOL,2026-03,449,85,15,0.17647058823529413,1.5655578098816447
q05,-12.803232638140472,lower,DOGE,all,1865,248,245,0.9879032258064516,13.468064362688155
q05,-12.803232638140472,lower,DOGE,2026-01,744,67,67,1.0,9.925578684258019
q05,-12.803232638140472,lower,DOGE,2026-02,672,96,95,0.9895833333333334,13.93733863218668
q05,-12.803232638140472,lower,DOGE,2026-03,449,85,83,0.9764705882352941,14.545518658159553
q05,-12.803232638140472,lower,USDT,all,1865,248,186,0.75,6.791171738087227
q05,-12.803232638140472,lower,USDT,2026-01,744,67,60,0.8955223880597015,6.795786873840293
q05,-12.803232638140472,lower,USDT,2026-02,672,96,66,0.6875,6.772773709619954
q05,-12.803232638140472,lower,USDT,2026-03,449,85,60,0.7058823529411765,6.805035989046809
q10,-9.9782572592364,lower,BTC,all,1865,384,1,0.0026041666666666665,0.018869259617565724
q10,-9.9782572592364,lower,BTC,2026-01,744,122,0,0.0,0.015021386784120178
q10,-9.9782572592364,lower,BTC,2026-02,672,143,1,0.006993006993006993,0.019955698362246428
q10,-9.9782572592364,lower,BTC,2026-03,449,119,0,0.0,0.019378812175859305
q10,-9.9782572592364,lower,ETH,all,1865,384,25,0.06510416666666667,0.633211972995586
q10,-9.9782572592364,lower,ETH,2026-01,744,122,8,0.06557377049180328,0.44023773548350076
q10,-9.9782572592364,lower,ETH,2026-02,672,143,9,0.06293706293706294,0.6816632847457866
q10,-9.9782572592364,lower,ETH,2026-03,449,119,8,0.06722689075630252,0.6623613241530403
q10,-9.9782572592364,lower,XRP,all,1865,384,37,0.09635416666666667,0.9105395103779156
q10,-9.9782572592364,lower,XRP,2026-01,744,122,12,0.09836065573770492,0.6806193701894777
q10,-9.9782572592364,lower,XRP,2026-02,672,143,11,0.07692307692307693,0.9523810243674287
q10,-9.9782572592364,lower,XRP,2026-03,449,119,14,0.11764705882352941,0.9791921860223854
q10,-9.9782572592364,lower,SOL,all,1865,384,63,0.1640625,1.4975665244822625
q10,-9.9782572592364,lower,SOL,2026-01,744,122,20,0.16393442622950818,1.0269576605614472
q10,-9.9782572592364,lower,SOL,2026-02,672,143,23,0.16083916083916083,1.5974444291571612
q10,-9.9782572592364,lower,SOL,2026-03,449,119,20,0.16806722689075632,1.5655578098816447
q10,-9.9782572592364,lower,DOGE,all,1865,384,370,0.9635416666666666,13.468064362688155
q10,-9.9782572592364,lower,DOGE,2026-01,744,122,118,0.9672131147540983,9.925578684258019
q10,-9.9782572592364,lower,DOGE,2026-02,672,143,140,0.9790209790209791,13.93733863218668
q10,-9.9782572592364,lower,DOGE,2026-03,449,119,112,0.9411764705882353,14.545518658159553
q10,-9.9782572592364,lower,USDT,all,1865,384,267,0.6953125,6.791171738087227
q10,-9.9782572592364,lower,USDT,2026-01,744,122,102,0.8360655737704918,6.795786873840293
q10,-9.9782572592364,lower,USDT,2026-02,672,143,90,0.6293706293706294,6.772773709619954
q10,-9.9782572592364,lower,USDT,2026-03,449,119,75,0.6302521008403361,6.805035989046809
minus5,-5.0,lower,BTC,all,1865,693,1,0.001443001443001443,0.018869259617565724
minus5,-5.0,lower,BTC,2026-01,744,264,1,0.003787878787878788,0.015021386784120178
minus5,-5.0,lower,BTC,2026-02,672,242,0,0.0,0.019955698362246428
minus5,-5.0,lower,BTC,2026-03,449,187,0,0.0,0.019378812175859305
minus5,-5.0,lower,ETH,all,1865,693,41,0.05916305916305916,0.633211972995586
minus5,-5.0,lower,ETH,2026-01,744,264,19,0.07196969696969698,0.44023773548350076
minus5,-5.0,lower,ETH,2026-02,672,242,13,0.05371900826446281,0.6816632847457866
minus5,-5.0,lower,ETH,2026-03,449,187,9,0.0481283422459893,0.6623613241530403
minus5,-5.0,lower,XRP,all,1865,693,61,0.08802308802308802,0.9105395103779156
minus5,-5.0,lower,XRP,2026-01,744,264,27,0.10227272727272728,0.6806193701894777
minus5,-5.0,lower,XRP,2026-02,672,242,19,0.07851239669421488,0.9523810243674287
minus5,-5.0,lower,XRP,2026-03,449,187,15,0.08021390374331551,0.9791921860223854
minus5,-5.0,lower,SOL,all,1865,693,93,0.1341991341991342,1.4975665244822625
minus5,-5.0,lower,SOL,2026-01,744,264,39,0.14772727272727273,1.0269576605614472
minus5,-5.0,lower,SOL,2026-02,672,242,29,0.11983471074380166,1.5974444291571612
minus5,-5.0,lower,SOL,2026-03,449,187,25,0.13368983957219252,1.5655578098816447
minus5,-5.0,lower,DOGE,all,1865,693,606,0.8744588744588745,13.468064362688155
minus5,-5.0,lower,DOGE,2026-01,744,264,234,0.8863636363636364,9.925578684258019
minus5,-5.0,lower,DOGE,2026-02,672,242,209,0.8636363636363636,13.93733863218668
minus5,-5.0,lower,DOGE,2026-03,449,187,163,0.8716577540106952,14.545518658159553
minus5,-5.0,lower,USDT,all,1865,693,403,0.5815295815295816,6.791171738087227
minus5,-5.0,lower,USDT,2026-01,744,264,180,0.6818181818181818,6.795786873840293
minus5,-5.0,lower,USDT,2026-02,672,242,132,0.5454545454545454,6.772773709619954
minus5,-5.0,lower,USDT,2026-03,449,187,91,0.48663101604278075,6.805035989046809
minus10,-10.0,lower,BTC,all,1865,383,0,0.0,0.018869259617565724
minus10,-10.0,lower,BTC,2026-01,744,122,0,0.0,0.015021386784120178
minus10,-10.0,lower,BTC,2026-02,672,142,0,0.0,0.019955698362246428
minus10,-10.0,lower,BTC,2026-03,449,119,0,0.0,0.019378812175859305
minus10,-10.0,lower,ETH,all,1865,383,24,0.06266318537859007,0.633211972995586
minus10,-10.0,lower,ETH,2026-01,744,122,8,0.06557377049180328,0.44023773548350076
minus10,-10.0,lower,ETH,2026-02,672,142,8,0.056338028169014086,0.6816632847457866
minus10,-10.0,lower,ETH,2026-03,449,119,8,0.06722689075630252,0.6623613241530403
minus10,-10.0,lower,XRP,all,1865,383,39,0.10182767624020887,0.9105395103779156
minus10,-10.0,lower,XRP,2026-01,744,122,13,0.10655737704918032,0.6806193701894777
minus10,-10.0,lower,XRP,2026-02,672,142,11,0.07746478873239436,0.9523810243674287
minus10,-10.0,lower,XRP,2026-03,449,119,15,0.12605042016806722,0.9791921860223854
minus10,-10.0,lower,SOL,all,1865,383,66,0.17232375979112272,1.4975665244822625
minus10,-10.0,lower,SOL,2026-01,744,122,20,0.16393442622950818,1.0269576605614472
minus10,-10.0,lower,SOL,2026-02,672,142,26,0.18309859154929578,1.5974444291571612
minus10,-10.0,lower,SOL,2026-03,449,119,20,0.16806722689075632,1.5655578098816447
minus10,-10.0,lower,DOGE,all,1865,383,369,0.9634464751958225,13.468064362688155
minus10,-10.0,lower,DOGE,2026-01,744,122,118,0.9672131147540983,9.925578684258019
minus10,-10.0,lower,DOGE,2026-02,672,142,139,0.9788732394366197,13.93733863218668
minus10,-10.0,lower,DOGE,2026-03,449,119,112,0.9411764705882353,14.545518658159553
minus10,-10.0,lower,USDT,all,1865,383,266,0.6945169712793734,6.791171738087227
minus10,-10.0,lower,USDT,2026-01,744,122,102,0.8360655737704918,6.795786873840293
minus10,-10.0,lower,USDT,2026-02,672,142,89,0.6267605633802817,6.772773709619954
minus10,-10.0,lower,USDT,2026-03,449,119,75,0.6302521008403361,6.805035989046809
minus20,-20.0,lower,BTC,all,1865,55,0,0.0,0.018869259617565724
minus20,-20.0,lower,BTC,2026-01,744,7,0,0.0,0.015021386784120178
minus20,-20.0,lower,BTC,2026-02,672,26,0,0.0,0.019955698362246428
minus20,-20.0,lower,BTC,2026-03,449,22,0,0.0,0.019378812175859305
minus20,-20.0,lower,ETH,all,1865,55,11,0.2,0.633211972995586
minus20,-20.0,lower,ETH,2026-01,744,7,1,0.14285714285714285,0.44023773548350076
minus20,-20.0,lower,ETH,2026-02,672,26,7,0.2692307692307692,0.6816632847457866
minus20,-20.0,lower,ETH,2026-03,449,22,3,0.13636363636363635,0.6623613241530403
minus20,-20.0,lower,XRP,all,1865,55,15,0.2727272727272727,0.9105395103779156
minus20,-20.0,lower,XRP,2026-01,744,7,2,0.2857142857142857,0.6806193701894777
minus20,-20.0,lower,XRP,2026-02,672,26,8,0.3076923076923077,0.9523810243674287
minus20,-20.0,lower,XRP,2026-03,449,22,5,0.22727272727272727,0.9791921860223854
minus20,-20.0,lower,SOL,all,1865,55,21,0.38181818181818183,1.4975665244822625
minus20,-20.0,lower,SOL,2026-01,744,7,2,0.2857142857142857,1.0269576605614472
minus20,-20.0,lower,SOL,2026-02,672,26,12,0.46153846153846156,1.5974444291571612
minus20,-20.0,lower,SOL,2026-03,449,22,7,0.3181818181818182,1.5655578098816447
minus20,-20.0,lower,DOGE,all,1865,55,55,1.0,13.468064362688155
minus20,-20.0,lower,DOGE,2026-01,744,7,7,1.0,9.925578684258019
minus20,-20.0,lower,DOGE,2026-02,672,26,26,1.0,13.93733863218668
minus20,-20.0,lower,DOGE,2026-03,449,22,22,1.0,14.545518658159553
minus20,-20.0,lower,USDT,all,1865,55,51,0.9272727272727272,6.791171738087227
minus20,-20.0,lower,USDT,2026-01,744,7,7,1.0,6.795786873840293
minus20,-20.0,lower,USDT,2026-02,672,26,24,0.9230769230769231,6.772773709619954
minus20,-20.0,lower,USDT,2026-03,449,22,20,0.9090909090909091,6.805035989046809
q90,8.527136174640406,upper,BTC,all,1865,288,3,0.010416666666666666,0.01886908159476605
q90,8.527136174640406,upper,BTC,2026-01,744,86,2,0.023255813953488372,0.01502127396393644
q90,8.527136174640406,upper,BTC,2026-02,672,132,1,0.007575757575757576,0.019955499249284456
q90,8.527136174640406,upper,BTC,2026-03,449,70,0,0.0,0.019378624408497986
q90,8.527136174640406,upper,ETH,all,1865,288,30,0.10416666666666667,0.633011557745208
q90,8.527136174640406,upper,ETH,2026-01,744,86,5,0.05813953488372093,0.4401408521759085
q90,8.527136174640406,upper,ETH,2026-02,672,132,19,0.14393939393939395,0.6814310314791736
q90,8.527136174640406,upper,ETH,2026-03,449,70,6,0.08571428571428572,0.6621420355133266
q90,8.527136174640406,upper,XRP,all,1865,288,44,0.1527777777777778,0.9101251579129276
q90,8.527136174640406,upper,XRP,2026-01,744,86,11,0.12790697674418605,0.6803878276198843
q90,8.527136174640406,upper,XRP,2026-02,672,132,24,0.18181818181818182,0.9519277253820705
q90,8.527136174640406,upper,XRP,2026-03,449,70,9,0.12857142857142856,0.9787130119459906
q90,8.527136174640406,upper,SOL,all,1865,288,63,0.21875,1.496446010704285
q90,8.527136174640406,upper,SOL,2026-01,744,86,13,0.1511627906976744,1.026430610160803
q90,8.527136174640406,upper,SOL,2026-02,672,132,39,0.29545454545454547,1.5961695328221692
q90,8.527136174640406,upper,SOL,2026-03,449,70,11,0.15714285714285714,1.564333282725153
q90,8.527136174640406,upper,DOGE,all,1865,288,278,0.9652777777777778,13.377976301593216
q90,8.527136174640406,upper,DOGE,2026-01,744,86,84,0.9767441860465116,9.876563281165145
q90,8.527136174640406,upper,DOGE,2026-02,672,132,127,0.9621212121212122,13.840885689147562
q90,8.527136174640406,upper,DOGE,2026-03,449,70,67,0.9571428571428572,14.440495946974131
q90,8.527136174640406,upper,USDT,all,1865,288,206,0.7152777777777778,6.795786873840293
q90,8.527136174640406,upper,USDT,2026-01,744,86,70,0.813953488372093,6.8004082865553235
q90,8.527136174640406,upper,USDT,2026-02,672,132,92,0.696969696969697,6.777363864976057
q90,8.527136174640406,upper,USDT,2026-03,449,70,44,0.6285714285714286,6.809669994164142
q95,11.004914513208597,upper,BTC,all,1865,185,2,0.010810810810810811,0.01886908159476605
q95,11.004914513208597,upper,BTC,2026-01,744,56,1,0.017857142857142856,0.01502127396393644
q95,11.004914513208597,upper,BTC,2026-02,672,80,1,0.0125,0.019955499249284456
q95,11.004914513208597,upper,BTC,2026-03,449,49,0,0.0,0.019378624408497986
q95,11.004914513208597,upper,ETH,all,1865,185,12,0.06486486486486487,0.633011557745208
q95,11.004914513208597,upper,ETH,2026-01,744,56,3,0.05357142857142857,0.4401408521759085
q95,11.004914513208597,upper,ETH,2026-02,672,80,4,0.05,0.6814310314791736
q95,11.004914513208597,upper,ETH,2026-03,449,49,5,0.10204081632653061,0.6621420355133266
q95,11.004914513208597,upper,XRP,all,1865,185,21,0.11351351351351352,0.9101251579129276
q95,11.004914513208597,upper,XRP,2026-01,744,56,6,0.10714285714285714,0.6803878276198843
q95,11.004914513208597,upper,XRP,2026-02,672,80,8,0.1,0.9519277253820705
q95,11.004914513208597,upper,XRP,2026-03,449,49,7,0.14285714285714285,0.9787130119459906
q95,11.004914513208597,upper,SOL,all,1865,185,41,0.22162162162162163,1.496446010704285
q95,11.004914513208597,upper,SOL,2026-01,744,56,14,0.25,1.026430610160803
q95,11.004914513208597,upper,SOL,2026-02,672,80,16,0.2,1.5961695328221692
q95,11.004914513208597,upper,SOL,2026-03,449,49,11,0.22448979591836735,1.564333282725153
q95,11.004914513208597,upper,DOGE,all,1865,185,181,0.9783783783783784,13.377976301593216
q95,11.004914513208597,upper,DOGE,2026-01,744,56,55,0.9821428571428571,9.876563281165145
q95,11.004914513208597,upper,DOGE,2026-02,672,80,77,0.9625,13.840885689147562
q95,11.004914513208597,upper,DOGE,2026-03,449,49,49,1.0,14.440495946974131
q95,11.004914513208597,upper,USDT,all,1865,185,147,0.7945945945945946,6.795786873840293
q95,11.004914513208597,upper,USDT,2026-01,744,56,53,0.9464285714285714,6.8004082865553235
q95,11.004914513208597,upper,USDT,2026-02,672,80,64,0.8,6.777363864976057
q95,11.004914513208597,upper,USDT,2026-03,449,49,30,0.6122448979591837,6.809669994164142
