window_days,coin,rule,n,mean_abs_bp,std_bp,mean_bp
14,ETH,observed,336,7.735026985761162,12.895182075217388,-0.5708135078087986
14,ETH,nearest_half_up,336,7.735026985761162,12.895182075217388,-0.5708135078087986
14,ETH,floor,336,7.735026985761162,12.895182075217388,-0.5708135078087986
14,ETH,ceiling,336,7.735026985761162,12.895182075217388,-0.5708135078087986
14,XRP,observed,336,7.081952981528489,9.401991841835061,1.0332937684028554
14,XRP,nearest_half_up,336,7.081952981528489,9.401991841835061,1.0332937684028554
14,XRP,floor,336,7.081952981528489,9.401991841835061,1.0332937684028554
14,XRP,ceiling,336,7.081952981528489,9.401991841835061,1.0332937684028554
14,SOL,observed,336,7.296710557602257,10.085135938573776,2.088104814318041
14,SOL,nearest_half_up,336,7.612144406187388,10.134815113557847,2.9910237549549663
14,SOL,floor,336,7.13418927770243,10.133752563724212,1.185005252522209
14,SOL,ceiling,336,7.612144406187388,10.134815113557847,2.9910237549549663
14,DOGE,observed,336,8.23554122327139,11.166170807624264,1.168369087099193
14,DOGE,nearest_half_up,336,11.165669626879488,14.232840852522695,3.340492759117932
14,DOGE,floor,336,15.469294633278645,14.79043519545756,-12.645320235743235
14,DOGE,ceiling,336,16.595837324751653,14.685835915376419,14.169970546948326
28,ETH,observed,672,6.598073924461033,10.297625495424189,-0.9802333963959905
28,ETH,nearest_half_up,672,6.598073924461033,10.297625495424189,-0.9802333963959905
28,ETH,floor,672,6.598073924461033,10.297625495424189,-0.9802333963959905
28,ETH,ceiling,672,6.598073924461033,10.297625495424189,-0.9802333963959905
28,XRP,observed,672,7.082215460922415,8.97950381953745,-0.2451438487631316
28,XRP,nearest_half_up,672,7.082215460922415,8.97950381953745,-0.2451438487631316
28,XRP,floor,672,7.082215460922415,8.97950381953745,-0.2451438487631316
28,XRP,ceiling,672,7.082215460922415,8.97950381953745,-0.2451438487631316
28,SOL,observed,672,6.453671079634928,8.639267933586384,1.4209168590844825
28,SOL,nearest_half_up,672,6.721678100601834,8.714046872578852,2.4687799730726527
28,SOL,floor,672,6.3792236630786245,8.704540563504134,0.37282261362739344
28,SOL,ceiling,672,6.721678100601834,8.714046872578852,2.4687799730726527
28,DOGE,observed,672,7.257475727712536,9.572303233192454,0.49576594085551884
28,DOGE,nearest_half_up,672,11.167168625236387,13.726148703157804,2.829530260879096
28,DOGE,floor,672,17.7218518897838,14.703583184112334,-15.885947193564258
28,DOGE,ceiling,672,17.98299270330577,14.782279958556778,16.15308233791266
42,ETH,observed,1003,6.3612564663286895,9.437979077129294,-0.8081240323256932
42,ETH,nearest_half_up,1003,6.3612564663286895,9.437979077129294,-0.8081240323256932
42,ETH,floor,1003,6.3612564663286895,9.437979077129294,-0.8081240323256932
42,ETH,ceiling,1003,6.3612564663286895,9.437979077129294,-0.8081240323256932
42,XRP,observed,1003,6.851333570562176,8.716710293499762,-0.3554955223971361
42,XRP,nearest_half_up,1003,6.851333570562176,8.716710293499762,-0.3554955223971361
42,XRP,floor,1003,6.851333570562176,8.716710293499762,-0.3554955223971361
42,XRP,ceiling,1003,6.851333570562176,8.716710293499762,-0.3554955223971361
42,SOL,observed,1003,6.181680264926485,8.162278379348018,1.0982102180708044
42,SOL,nearest_half_up,1003,6.426854396373803,8.230919321051818,2.178079421252641
42,SOL,floor,1003,6.203116149506507,8.256895394392497,0.01809057481000309
42,SOL,ceiling,1003,6.426854396373803,8.230919321051818,2.178079421252641
42,DOGE,observed,1003,6.863868689328902,8.93033136027744,0.2886813550803516
42,DOGE,nearest_half_up,1003,11.851480806175308,14.343884261015228,2.542246590541704
42,DOGE,floor,1003,18.55392858072894,14.500064968590962,-17.020595726140964
42,DOGE,ceiling,1003,19.20768832928748,14.731461705877255,17.678956618409188
