window_days,period,coin,n,days,mean_bp,mean_abs_bp,std_bp,q90_abs_bp
14,before,ETH,336,14,-0.5708135078085789,7.735026985761124,12.895182075217091,14.477754392192566
14,before,XRP,336,14,1.0332937684029035,7.081952981528239,9.401991841834999,14.010993602480148
14,before,SOL,336,14,2.0881048143185046,7.296710557602117,10.085135938573368,13.86580989028996
14,before,DOGE,336,14,1.1683690870991001,8.23554122327126,11.166170807624036,15.645847110610234
14,after,ETH,336,14,-2.185191154718269,7.807089677280224,9.096285534535784,14.950842063314873
14,after,XRP,336,14,0.5106137842430816,6.669165813832183,8.098191443088604,13.066217239749989
14,after,SOL,336,14,1.3465059844937013,6.917572314030626,8.629743853874684,13.649042085801533
14,after,DOGE,336,14,1.9409634173655514,16.559463924883147,19.980834856766844,33.59072752151082
28,before,ETH,672,28,-0.9802333963959158,6.598073924461064,10.29762549542405,13.163807086162826
28,before,XRP,672,28,-0.24514384876309997,7.082215460922279,8.979503819537412,13.951206512241576
28,before,SOL,672,28,1.4209168590846126,6.453671079634939,8.639267933586307,12.43322368979882
28,before,DOGE,672,28,0.4957659408553961,7.257475727712406,9.572303233192272,14.144948479738238
28,after,ETH,672,28,-3.1447068786880212,7.6227382151406164,8.579906691792768,14.891550470649937
28,after,XRP,672,28,-1.0802429907018154,6.934028779877134,8.261560952216328,13.414861256912047
28,after,SOL,672,28,-0.8657295688525263,6.861565256847614,8.442029349774531,13.44887125737859
28,after,DOGE,672,28,0.501303122909485,16.27041460034082,19.653013655486912,31.483764313117387
42,before,ETH,1003,42,-0.8081240323256649,6.3612564663287205,9.437979077129185,12.694776131938927
42,before,XRP,1003,42,-0.35549552239715815,6.851333570562116,8.716710293499796,13.75758038337338
42,before,SOL,1003,42,1.098210218070853,6.181680264926342,8.162278379347883,12.206427331783232
42,before,DOGE,1003,42,0.2886813550803632,6.8638686893287595,8.93033136027727,13.684358247452622
42,after,ETH,1008,42,-2.524040198214933,7.141802452941949,8.275890147690253,14.166249244624398
42,after,XRP,1008,42,-0.8560381106266172,6.378530472427639,7.6920132287136616,12.698021960844132
42,after,SOL,1008,42,-0.5629493050637384,6.4947940013288665,8.026459851516652,13.142889159045268
42,after,DOGE,1008,42,-0.2705148263423961,16.17399559167444,19.50521709854345,31.108683122343276
