method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
ml,0.1,ML_minus_linear,without_positioning,3,-0.08894006812973232,-4.4707295598749575,-0.1938355350797592,0.0035825240496787977,577,2000
ml,0.1,ML_minus_linear,with_positioning,3,-0.0994312044345298,-4.996704751729832,-0.20687592995687412,-0.0023958568686687277,577,2000
ml,0.1,add_positioning,linear_qr,7,0.0005495512782127676,0.02762416530409152,-0.0006643490256846463,0.0018250670305794228,577,2000
ml,0.1,add_positioning,quantile_lightgbm,7,-0.00994158502658471,-0.5231185397195874,-0.032318885566613165,0.014400618054720826,577,2000
ml,0.1,ML_minus_linear,without_positioning,7,-0.08894006812973232,-4.4707295598749575,-0.16143067116887475,-0.01868857491645855,577,2000
ml,0.1,ML_minus_linear,with_positioning,7,-0.0994312044345298,-4.996704751729832,-0.16849062429851652,-0.032009850828103946,577,2000
ml,0.5,add_positioning,linear_qr,3,0.041426329622967994,1.0741408564836155,-0.014694578080295229,0.10958389046409157,577,2000
ml,0.5,add_positioning,quantile_lightgbm,3,0.016497958322655215,0.41216461974770785,-0.03229407881360648,0.06104892033960044,577,2000
ml,0.5,ML_minus_linear,without_positioning,3,0.14606512293949026,3.7873139543026677,0.06578788158976608,0.23195537793657536,577,2000
ml,0.5,ML_minus_linear,with_positioning,3,0.12113675163917748,3.107568027894526,0.04222934239014353,0.19936027287400573,577,2000
ml,0.5,add_positioning,linear_qr,7,0.041426329622967994,1.0741408564836155,-0.012299908610060084,0.0957472105730963,577,2000
ml,0.5,add_positioning,quantile_lightgbm,7,0.016497958322655215,0.41216461974770785,-0.03156734170803495,0.05839270979906019,577,2000
ml,0.5,ML_minus_linear,without_positioning,7,0.14606512293949026,3.7873139543026677,0.07326193452415462,0.2203669161460417,577,2000
ml,0.5,ML_minus_linear,with_positioning,7,0.12113675163917748,3.107568027894526,0.055555083467098164,0.1900875339207369,577,2000
ml,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
ml,0.9,add_positioning,quantile_lightgbm,3,-0.013973942911807757,-0.7685893770698404,-0.036189478620793816,0.006947969074870701,577,2000
ml,0.9,ML_minus_linear,without_positioning,3,0.02570504113657157,1.4340941736933461,-0.018698801809841438,0.07318452837447852,577,2000
ml,0.9,ML_minus_linear,with_positioning,3,0.011731098224763814,0.6544825011473212,-0.027523527498662336,0.05266349965099586,577,2000
ml,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
ml,0.9,add_positioning,quantile_lightgbm,7,-0.013973942911807757,-0.7685893770698404,-0.031866496072328554,0.0033556280204836654,577,2000
ml,0.9,ML_minus_linear,without_positioning,7,0.02570504113657157,1.4340941736933461,-0.01812527511321199,0.0707574832153748,577,2000
ml,0.9,ML_minus_linear,with_positioning,7,0.011731098224763814,0.6544825011473212,-0.026032622428229502,0.052473206056838376,577,2000
joint_linear,0.1,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
joint_linear,0.1,add_positioning,quantile_lightgbm,3,0.024369393172155807,1.2823713116447344,0.0029381561931688172,0.04447745571087334,577,2000
joint_linear,0.1,ML_minus_linear,without_positioning,3,0.01303184865937701,0.6904998738372894,-0.05000976329826914,0.06995278057553461,577,2000
joint_linear,0.1,ML_minus_linear,with_positioning,3,0.03740124183153282,1.9817259577710564,-0.03161019508869072,0.10098004468612039,577,2000
joint_linear,0.1,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
joint_linear,0.1,add_positioning,quantile_lightgbm,7,0.024369393172155807,1.2823713116447344,0.00453638429338269,0.04373737174158924,577,2000
joint_linear,0.1,ML_minus_linear,without_positioning,7,0.01303184865937701,0.6904998738372894,-0.04451792187861821,0.06891064481247101,577,2000
joint_linear,0.1,ML_minus_linear,with_positioning,7,0.03740124183153282,1.9817259577710564,-0.02945626701837648,0.1048732191547266,577,2000
joint_linear,0.5,add_positioning,linear_qr,3,0.0,0.0,-4.440892098500626e-16,0.0,577,2000
joint_linear,0.5,add_positioning,quantile_lightgbm,3,0.05139247511824507,1.3204563266915463,0.012703834803052672,0.09341912643280803,577,2000
joint_linear,0.5,ML_minus_linear,without_positioning,3,0.06418718042713278,1.6768526461704822,-0.028082496182051175,0.16003324701532465,577,2000
joint_linear,0.5,ML_minus_linear,with_positioning,3,0.11557965554537786,3.0194510797176815,0.009496940879923355,0.23581798047367297,577,2000
joint_linear,0.5,add_positioning,linear_qr,7,0.0,0.0,-1.1102230246250934e-17,0.0,577,2000
joint_linear,0.5,add_positioning,quantile_lightgbm,7,0.05139247511824507,1.3204563266915463,0.018187339569714144,0.08212820164904232,577,2000
joint_linear,0.5,ML_minus_linear,without_positioning,7,0.06418718042713278,1.6768526461704822,-0.02314417349544514,0.1477705340861497,577,2000
joint_linear,0.5,ML_minus_linear,with_positioning,7,0.11557965554537786,3.0194510797176815,0.01725039914729337,0.20666136383389866,577,2000
joint_linear,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
joint_linear,0.9,add_positioning,quantile_lightgbm,3,0.01085441557694411,0.6251591538001516,-0.006113621034971838,0.030696832763629497,577,2000
joint_linear,0.9,ML_minus_linear,without_positioning,3,0.018820079303814907,1.0958189166280494,-0.029119129393405357,0.068997698620262,577,2000
joint_linear,0.9,ML_minus_linear,with_positioning,3,0.029674494880759017,1.727828682694575,-0.015766842736876792,0.07807975082380895,577,2000
joint_linear,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
joint_linear,0.9,add_positioning,quantile_lightgbm,7,0.01085441557694411,0.6251591538001516,-0.00279899582171933,0.02643456902772745,577,2000
joint_linear,0.9,ML_minus_linear,without_positioning,7,0.018820079303814907,1.0958189166280494,-0.026312255556187873,0.07224063935281874,577,2000
joint_linear,0.9,ML_minus_linear,with_positioning,7,0.029674494880759017,1.727828682694575,-0.014375570223159589,0.08026186946543115,577,2000
