method,scope,algorithm,period,n,mse,baseline_mse,skill
sequential_ols,mean_market,ridge,all,906,103.74826552689424,104.24814365025864,0.004795079373705047
sequential_ols,mean_market,ridge,2026-01,346,82.9522901214979,79.25323614267215,-0.04667385407665492
sequential_ols,mean_market,ridge,2026-02,324,111.76411551272503,108.38362506363289,-0.03119004782417467
sequential_ols,mean_market,ridge,2026-03,236,123.23246931866524,135.21569458115553,0.08862303521502857
sequential_ols,mean_market,lightgbm,all,906,104.08288095348368,104.24814365025864,0.0015852819147494923
sequential_ols,mean_market,lightgbm,2026-01,346,74.93398029562434,79.25323614267215,0.054499425604176754
sequential_ols,mean_market,lightgbm,2026-02,324,110.30685359789362,108.38362506363289,-0.017744641158953467
sequential_ols,mean_market,lightgbm,2026-03,236,138.27335760954526,135.21569458115553,-0.022613225763925993
sequential_ols,all_references,ridge,all,906,53.04992258122508,104.24814365025864,0.49111877944606963
sequential_ols,all_references,ridge,2026-01,346,56.366211967797376,79.25323614267215,0.2887834653675645
sequential_ols,all_references,ridge,2026-02,324,46.328417655719214,108.38362506363289,0.5725515027891028
sequential_ols,all_references,ridge,2026-03,236,57.41573388677545,135.21569458115553,0.5753767041272349
sequential_ols,all_references,lightgbm,all,906,92.26353736754993,104.24814365025864,0.1149622992128837
sequential_ols,all_references,lightgbm,2026-01,346,67.38200919785379,79.25323614267215,0.14978854520776552
sequential_ols,all_references,lightgbm,2026-02,324,85.33377440220912,108.38362506363289,0.21266912458308185
sequential_ols,all_references,lightgbm,2026-03,236,138.2561303653689,135.21569458115553,-0.02248582010861555
pca_1,mean_market,ridge,all,906,102.13893129188351,103.02291860838967,0.008580491879349395
pca_1,mean_market,ridge,2026-01,346,82.26046531993833,79.14279143284524,-0.039393024060043746
pca_1,mean_market,ridge,2026-02,324,109.79290584375819,106.2212148904632,-0.033625024501726664
pca_1,mean_market,ridge,2026-03,236,120.77478498461919,133.64273219884114,0.09628617286180818
pca_1,mean_market,lightgbm,all,906,102.43434933974083,103.02291860838967,0.00571299354162258
pca_1,mean_market,lightgbm,2026-01,346,74.16247019833125,79.14279143284524,0.06292829889301954
pca_1,mean_market,lightgbm,2026-02,324,108.10698292667381,106.2212148904632,-0.017753214724151256
