task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,baseline,without_positioning,linear_qr,0.1,all,576,6.009280260682676,5.305368691035026,-0.13267910500491964,0.1579861111111111
observed_change,baseline,without_positioning,linear_qr,0.1,2026-01,220,4.256848053541851,5.016911634037978,0.15150029259821196,0.04090909090909091
observed_change,baseline,without_positioning,linear_qr,0.1,2026-02,204,4.695408798334834,4.113979537692783,-0.14133012945614465,0.12254901960784313
observed_change,baseline,without_positioning,linear_qr,0.1,2026-03,152,10.309049102063867,7.321841979332185,-0.4079857406324605,0.375
observed_change,baseline,without_positioning,linear_qr,0.5,all,576,11.275916568068977,10.79281678047574,-0.044761233088582486,0.6180555555555556
observed_change,baseline,without_positioning,linear_qr,0.5,2026-01,220,9.805332012185856,9.774502080198696,-0.0031541179012704035,0.5409090909090909
observed_change,baseline,without_positioning,linear_qr,0.5,2026-02,204,10.37034291836339,9.835203726085682,-0.054410585401334366,0.6176470588235294
observed_change,baseline,without_positioning,linear_qr,0.5,2026-03,152,14.619769376188891,13.551910840716014,-0.07879763584811617,0.7302631578947368
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,all,576,5.551980985258987,5.305368691035026,-0.04648353556288831,0.13368055555555555
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-01,220,4.252149641234231,5.016911634037978,0.15243680746041177,0.05909090909090909
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-02,204,4.329343414676685,4.113979537692783,-0.052349282491736204,0.09803921568627451
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-03,152,9.074224143707903,7.321841979332185,-0.2393362448031897,0.2894736842105263
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,all,576,11.564000895737182,10.79281678047574,-0.07145346121843921,0.6059027777777778
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-01,220,10.220856124581195,9.774502080198696,-0.04566514393472065,0.5136363636363637
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-02,204,10.306558372571681,9.835203726085682,-0.04792525499353273,0.5931372549019608
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-03,152,15.195646450869281,13.551910840716014,-0.12129179637271137,0.756578947368421
observed_change,baseline,with_positioning,linear_qr,0.1,all,576,5.914288297453666,5.305368691035026,-0.11477423000734865,0.1545138888888889
observed_change,baseline,with_positioning,linear_qr,0.1,2026-01,220,4.256848053541851,5.016911634037978,0.15150029259821196,0.04090909090909091
observed_change,baseline,with_positioning,linear_qr,0.1,2026-02,204,4.695408798334834,4.113979537692783,-0.14133012945614465,0.12254901960784313
observed_change,baseline,with_positioning,linear_qr,0.1,2026-03,152,9.949079557196043,7.321841979332185,-0.35882194470734596,0.3618421052631579
observed_change,baseline,with_positioning,linear_qr,0.5,all,576,11.350673913354846,10.79281678047574,-0.051687816464027536,0.6163194444444444
observed_change,baseline,with_positioning,linear_qr,0.5,2026-01,220,9.841055710767113,9.774502080198696,-0.006808902389334293,0.5409090909090909
observed_change,baseline,with_positioning,linear_qr,0.5,2026-02,204,10.517652494603471,9.835203726085682,-0.06938837135704112,0.6127450980392157
observed_change,baseline,with_positioning,linear_qr,0.5,2026-03,152,14.653650058056044,13.551910840716014,-0.08129770261105262,0.7302631578947368
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,all,576,5.459838629923823,5.305368691035026,-0.02911577835293877,0.13368055555555555
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-01,220,4.200682792182301,5.016911634037978,0.16269547909073223,0.06818181818181818
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-02,204,4.143087621997404,4.113979537692783,-0.007075408138987882,0.10294117647058823
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-03,152,9.04951948466148,7.321841979332185,-0.23596214042943253,0.26973684210526316
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,all,576,11.455607301098562,10.79281678047574,-0.061410337459060216,0.6024305555555556
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-01,220,10.052298279727935,9.774502080198696,-0.028420496230902925,0.5318181818181819
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-02,204,10.031409039985531,9.835203726085682,-0.019949288226684958,0.5686274509803921
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-03,152,15.398136445628797,13.551910840716014,-0.13623360031014187,0.75
observed_change,sequential_ols,without_positioning,linear_qr,0.1,all,576,5.992841749191992,5.305368691035026,-0.12958063768850847,0.16493055555555555
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-01,220,4.211288000764143,5.016911634037978,0.16058158724741378,0.05454545454545454
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-02,204,4.595587346964539,4.113979537692783,-0.11706616546319837,0.11764705882352941
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-03,152,10.44666887227441,7.321841979332185,-0.4267815259825145,0.3881578947368421
observed_change,sequential_ols,without_positioning,linear_qr,0.5,all,576,11.219223007287892,10.79281678047574,-0.03950833554253652,0.6128472222222222
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-01,220,9.832108767294207,9.774502080198696,-0.005893567429098079,0.5545454545454546
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-02,204,10.147648133523106,9.835203726085682,-0.03176796496942247,0.5980392156862745
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-03,152,14.665054632594646,13.551910840716014,-0.08213924995243116,0.7171052631578947
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,all,576,5.5416507737333935,5.305368691035026,-0.044536411408623744,0.13194444444444445
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-01,220,4.262141615244146,5.016911634037978,0.15044514909789986,0.05909090909090909
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-02,204,4.331327233804508,4.113979537692783,-0.05283149663734554,0.10294117647058823
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-03,152,9.017953517240807,7.321841979332185,-0.2316509346550144,0.27631578947368424
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,all,576,11.540342612202586,10.79281678047574,-0.06926142145571523,0.5989583333333334
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-01,220,10.020194876768008,9.774502080198696,-0.025136093332778442,0.5136363636363637
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-02,204,10.319884524455807,9.835203726085682,-0.049280199156893634,0.5833333333333334
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-03,152,15.378539662833838,13.551910840716014,-0.13478754720181696,0.743421052631579
observed_change,sequential_ols,with_positioning,linear_qr,0.1,all,576,5.992841749191992,5.305368691035026,-0.12958063768850847,0.16493055555555555
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-01,220,4.211288000764143,5.016911634037978,0.16058158724741378,0.05454545454545454
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-02,204,4.595587346964539,4.113979537692783,-0.11706616546319837,0.11764705882352941
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-03,152,10.446668872274408,7.321841979332185,-0.4267815259825143,0.3881578947368421
observed_change,sequential_ols,with_positioning,linear_qr,0.5,all,576,11.234480964287748,10.79281678047574,-0.04092204961831469,0.6024305555555556
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-01,220,9.816018343010759,9.774502080198696,-0.004247404366117813,0.5318181818181819
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-02,204,10.208081842220535,9.835203726085682,-0.037912597086919186,0.5931372549019608
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-03,152,14.665054632594646,13.551910840716014,-0.08213924995243116,0.7171052631578947
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,all,576,5.447354192344701,5.305368691035026,-0.02676260776175665,0.1284722222222222
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-01,220,4.189901307255528,5.016911634037978,0.16484450736016087,0.06363636363636363
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-02,204,4.126976628689882,4.113979537692783,-0.0031592502777464393,0.09803921568627451
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-03,152,9.039437466721026,7.321841979332185,-0.23458516207222213,0.2631578947368421
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,all,576,11.53803064942572,10.79281678047574,-0.06904720835232525,0.5989583333333334
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-01,220,10.070693396300584,9.774502080198696,-0.03030244545161187,0.5272727272727272
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-02,204,10.124799742573826,9.835203726085682,-0.02944484166810435,0.5686274509803921
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-03,152,15.558512890776486,13.551910840716014,-0.14806783144054791,0.743421052631579
observed_change,pca_1,without_positioning,linear_qr,0.1,all,576,5.990712990474263,5.305368691035026,-0.12917939154677915,0.16493055555555555
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-01,220,4.210640408207666,5.016911634037978,0.1607106691614909,0.05454545454545454
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-02,204,4.5897118634910345,4.113979537692783,-0.11563799028155919,0.11764705882352941
observed_change,pca_1,without_positioning,linear_qr,0.1,2026-03,152,10.447424819442885,7.321841979332185,-0.4268847714732815,0.3881578947368421
observed_change,pca_1,without_positioning,linear_qr,0.5,all,576,11.217244082118592,10.79281678047574,-0.03932497977827665,0.6128472222222222
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-01,220,9.833001269954067,9.774502080198696,-0.005984876700152242,0.5545454545454546
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-02,204,10.14388339729091,9.835203726085682,-0.031385183246029236,0.5980392156862745
observed_change,pca_1,without_positioning,linear_qr,0.5,2026-03,152,14.661316439888608,13.551910840716014,-0.08186340747161958,0.7171052631578947
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,all,576,5.545032825151779,5.305368691035026,-0.04517388857851401,0.12152777777777778
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-01,220,4.263846913386982,5.016911634037978,0.15010523915584184,0.05
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-02,204,4.280714961037129,4.113979537692783,-0.04052898703474228,0.09313725490196079
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,2026-03,152,9.09622851507049,7.321841979332185,-0.24234155022014603,0.2631578947368421
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,all,576,11.591843379888092,10.79281678047574,-0.07403318481768317,0.5989583333333334
