mode,definition,removed_group,procedure,calibration,n,fold,month_n,removal_loss_increase_pct,difference_bp
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,2026-01,294,-0.4317381195746206,-0.0067960406094713655
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,2026-02,280,0.8324263894587958,0.017563110854176056
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,2026-03,201,1.2953749962182348,0.023133156176246894
available_macro,EQ,local_volume,retuned,raw,1088,2025-12,313,0.1445239717879021,0.0024161147426746687
available_macro,EQ,local_volume,retuned,raw,1088,2026-01,294,-1.020813922693753,-0.016068752233821426
available_macro,EQ,local_volume,retuned,raw,1088,2026-02,280,0.26940228917471387,0.005684036845853058
available_macro,EQ,local_volume,retuned,raw,1088,2026-03,201,0.025233049008499542,0.00045061859710182617
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,2025-12,313,0.1445239717879021,0.0024161147426746687
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,2026-01,294,-1.020813922693753,-0.016068752233821426
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,2026-02,280,0.26940228917471387,0.005684036845853058
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,2026-03,201,0.025233049008499542,0.00045061859710182617
available_macro,EQ,fx_macro,retuned,raw,1088,2025-12,313,4.125709230062435,0.06897255016884696
available_macro,EQ,fx_macro,retuned,raw,1088,2026-01,294,-1.1387694788427605,-0.01792550454119546
available_macro,EQ,fx_macro,retuned,raw,1088,2026-02,280,-0.7517041052013784,-0.01585997596469113
available_macro,EQ,fx_macro,retuned,raw,1088,2026-03,201,7.326956628865378,0.13084676830027098
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,2025-12,313,-0.0055822475516498216,-9.332258475835964e-05
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,2026-01,294,-1.1387694788427605,-0.01792550454119546
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,2026-02,280,-0.7517041052013784,-0.01585997596469113
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,2026-03,201,-0.21841663452286664,-0.0039005431883885056
available_macro,EQ,global_btc,retuned,calibrated,1088,2025-12,313,0.21126227639178818,0.0034468922453707584
available_macro,EQ,global_btc,retuned,calibrated,1088,2026-01,294,-0.7186502397524275,-0.010375354532705439
available_macro,EQ,global_btc,retuned,calibrated,1088,2026-02,280,0.2579260972507713,0.00485352508560255
available_macro,EQ,global_btc,retuned,calibrated,1088,2026-03,201,1.466040769943211,0.027588487368242598
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1088,2025-12,313,0.21126227639178818,0.0034468922453707584
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1088,2026-01,294,-0.7186502397524275,-0.010375354532705439
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1088,2026-02,280,0.2579260972507713,0.00485352508560255
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1088,2026-03,201,1.466040769943211,0.027588487368242598
available_macro,EQ,local_volume,retuned,calibrated,1088,2025-12,313,1.0114266808060712,0.016502135839747023
available_macro,EQ,local_volume,retuned,calibrated,1088,2026-01,294,-0.9865425207950751,-0.01424299032915366
available_macro,EQ,local_volume,retuned,calibrated,1088,2026-02,280,0.23836988873786602,0.004485526075000967
available_macro,EQ,local_volume,retuned,calibrated,1088,2026-03,201,0.9142206360130523,0.017204135782260543
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1088,2025-12,313,0.019133529363579704,0.00031217695424046177
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1088,2026-01,294,-0.9865425207950751,-0.01424299032915366
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1088,2026-02,280,0.23836988873786602,0.004485526075000967
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1088,2026-03,201,0.9142206360130523,0.017204135782260543
available_macro,EQ,fx_macro,retuned,calibrated,1088,2025-12,313,3.197986323210489,0.05217739033462476
available_macro,EQ,fx_macro,retuned,calibrated,1088,2026-01,294,-1.2237713898910152,-0.017667929870134103
available_macro,EQ,fx_macro,retuned,calibrated,1088,2026-02,280,-0.5666999073233425,-0.01066387715520034
available_macro,EQ,fx_macro,retuned,calibrated,1088,2026-03,201,1.7352586728206942,0.03265472758823851
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1088,2025-12,313,-0.368588564248884,-0.0060137810002844905
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1088,2026-01,294,-1.3907614766133447,-0.020078812462740236
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1088,2026-02,280,-0.5666999073233425,-0.01066387715520034
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1088,2026-03,201,0.12176648992110461,0.002291446007462339
available_macro,PCA,global_btc,retuned,raw,1088,2025-12,313,0.4439293395122501,0.007390832449954976
available_macro,PCA,global_btc,retuned,raw,1088,2026-01,294,-0.07015309706306372,-0.0010804352313313892
available_macro,PCA,global_btc,retuned,raw,1088,2026-02,280,12.00511567188871,0.2251172077939918
available_macro,PCA,global_btc,retuned,raw,1088,2026-03,201,2.257550872265579,0.03956110748885222
available_macro,PCA,global_btc,fixed_full_spec,raw,1088,2025-12,313,0.4439293395122501,0.007390832449954976
available_macro,PCA,global_btc,fixed_full_spec,raw,1088,2026-01,294,-0.07015309706306372,-0.0010804352313313892
available_macro,PCA,global_btc,fixed_full_spec,raw,1088,2026-02,280,0.0995940844370713,0.0018675656956619324
available_macro,PCA,global_btc,fixed_full_spec,raw,1088,2026-03,201,2.257550872265579,0.03956110748885222
available_macro,PCA,local_volume,retuned,raw,1088,2025-12,313,0.07181088562495663,0.0011955556357685637
available_macro,PCA,local_volume,retuned,raw,1088,2026-01,294,0.9031828755110327,0.013910014523808245
available_macro,PCA,local_volume,retuned,raw,1088,2026-02,280,11.417269518365703,0.2140940499744124
available_macro,PCA,local_volume,retuned,raw,1088,2026-03,201,0.36875624231964554,0.006462049435436379
available_macro,PCA,local_volume,fixed_full_spec,raw,1088,2025-12,313,0.07181088562495663,0.0011955556357685637
available_macro,PCA,local_volume,fixed_full_spec,raw,1088,2026-01,294,0.9031828755110327,0.013910014523808245
available_macro,PCA,local_volume,fixed_full_spec,raw,1088,2026-02,280,0.2356668709113885,0.00441917174303863
available_macro,PCA,local_volume,fixed_full_spec,raw,1088,2026-03,201,0.36875624231964554,0.006462049435436379
available_macro,PCA,fx_macro,retuned,raw,1088,2025-12,313,2.844771931208445,0.047361665090659644
available_macro,PCA,fx_macro,retuned,raw,1088,2026-01,294,-0.38919443441333135,-0.005994024446280166
available_macro,PCA,fx_macro,retuned,raw,1088,2026-02,280,10.354232143316388,0.1941602140837575
available_macro,PCA,fx_macro,retuned,raw,1088,2026-03,201,5.366994401802394,0.0940507011515066
available_macro,PCA,fx_macro,fixed_full_spec,raw,1088,2025-12,313,-0.250623883919987,-0.004172553983579519
available_macro,PCA,fx_macro,fixed_full_spec,raw,1088,2026-01,294,-0.38919443441333135,-0.005994024446280166
available_macro,PCA,fx_macro,fixed_full_spec,raw,1088,2026-02,280,0.002817627519724475,5.2835512557969366e-05
available_macro,PCA,fx_macro,fixed_full_spec,raw,1088,2026-03,201,-0.7736576170640608,-0.013557502745231709
available_macro,PCA,global_btc,retuned,calibrated,1088,2025-12,313,0.3855474712620044,0.0062508579950999454
available_macro,PCA,global_btc,retuned,calibrated,1088,2026-01,294,0.7364252590343456,0.010459636343836953
available_macro,PCA,global_btc,retuned,calibrated,1088,2026-02,280,5.033360345654736,0.08944743340401207
available_macro,PCA,global_btc,retuned,calibrated,1088,2026-03,201,3.4094579493761046,0.06259491927554439
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1088,2025-12,313,0.3855474712620044,0.0062508579950999454
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1088,2026-01,294,0.7364252590343456,0.010459636343836953
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1088,2026-02,280,0.21308648003484087,0.003786742339770166
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1088,2026-03,201,2.8402405896707172,0.05214454411033165
available_macro,PCA,local_volume,retuned,calibrated,1088,2025-12,313,0.9060803377230586,0.014690226095167569
available_macro,PCA,local_volume,retuned,calibrated,1088,2026-01,294,-0.9856696677076004,-0.013999718441069176
available_macro,PCA,local_volume,retuned,calibrated,1088,2026-02,280,3.8014351312221972,0.06755499157401146
available_macro,PCA,local_volume,retuned,calibrated,1088,2026-03,201,1.2328708941820032,0.022634522919577904
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1088,2025-12,313,-0.131821526216791,-0.0021372144871845133
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1088,2026-01,294,-0.9856696677076004,-0.013999718441069176
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1088,2026-02,280,-0.06873515184528944,-0.0012214867394708673
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1088,2026-03,201,0.19648444850823843,0.0036072972231622202
available_macro,PCA,fx_macro,retuned,calibrated,1088,2025-12,313,4.1081769691294845,0.06660562645816714
available_macro,PCA,fx_macro,retuned,calibrated,1088,2026-01,294,-0.9700523776511205,-0.013777902075235549
available_macro,PCA,fx_macro,retuned,calibrated,1088,2026-02,280,3.9266303683678894,0.0697798258533131
available_macro,PCA,fx_macro,retuned,calibrated,1088,2026-03,201,2.7910756135031134,0.05124191449586224
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1088,2025-12,313,-0.6436463513173063,-0.010435399635689624
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1088,2026-01,294,-1.2678665219232776,-0.01800783255212135
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1088,2026-02,280,-0.35772251918200215,-0.00635705751511928
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1088,2026-03,201,-0.9454118047711457,-0.017357004098738305
strict,EQ,global_btc,retuned,raw,467,2025-12,132,0.5925100770689973,0.012376827095334164
strict,EQ,global_btc,retuned,raw,467,2026-01,126,1.9182272025977998,0.02287288346096039
strict,EQ,global_btc,retuned,raw,467,2026-02,120,-0.014426771464126631,-0.0002984278406397145
strict,EQ,global_btc,retuned,raw,467,2026-03,89,-27.88629489273582,-0.7281659915448295
strict,EQ,global_btc,fixed_full_spec,raw,467,2025-12,132,0.5925100770689973,0.012376827095334164
strict,EQ,global_btc,fixed_full_spec,raw,467,2026-01,126,1.9182272025977998,0.02287288346096039
strict,EQ,global_btc,fixed_full_spec,raw,467,2026-02,120,-0.014426771464126631,-0.0002984278406397145
strict,EQ,global_btc,fixed_full_spec,raw,467,2026-03,89,-7.015843597903415,-0.18319747136151676
strict,EQ,local_volume,retuned,raw,467,2025-12,132,0.5467209330983547,0.011420346624029243
strict,EQ,local_volume,retuned,raw,467,2026-01,126,8.116125464491496,0.09677643589478979
strict,EQ,local_volume,retuned,raw,467,2026-02,120,1.1807157720539863,0.024423930131526106
strict,EQ,local_volume,retuned,raw,467,2026-03,89,0.6497820171994517,0.01696708611387754
strict,EQ,local_volume,fixed_full_spec,raw,467,2025-12,132,0.5467209330983547,0.011420346624029243
strict,EQ,local_volume,fixed_full_spec,raw,467,2026-01,126,1.1188091045754023,0.013340646107696807
strict,EQ,local_volume,fixed_full_spec,raw,467,2026-02,120,1.1807157720539863,0.024423930131526106
strict,EQ,local_volume,fixed_full_spec,raw,467,2026-03,89,0.6497820171994517,0.01696708611387754
strict,EQ,fx_macro,retuned,raw,467,2025-12,132,-1.0358703690129922,-0.021638093505304212
strict,EQ,fx_macro,retuned,raw,467,2026-01,126,0.29041455161169516,0.003462894377363357
strict,EQ,fx_macro,retuned,raw,467,2026-02,120,0.48326403559026954,0.00999665399557026
strict,EQ,fx_macro,retuned,raw,467,2026-03,89,-6.20753774533288,-0.16209101620594746
strict,EQ,fx_macro,fixed_full_spec,raw,467,2025-12,132,-1.0358703690129922,-0.021638093505304212
strict,EQ,fx_macro,fixed_full_spec,raw,467,2026-01,126,0.29041455161169516,0.003462894377363357
strict,EQ,fx_macro,fixed_full_spec,raw,467,2026-02,120,0.48326403559026954,0.00999665399557026
strict,EQ,fx_macro,fixed_full_spec,raw,467,2026-03,89,-6.207537745333047,-0.1620910162059519
strict,EQ,global_btc,retuned,calibrated,467,2025-12,132,8.031830830049348,0.167036418418133
strict,EQ,global_btc,retuned,calibrated,467,2026-01,126,1.235304561431727,0.014083020155130965
strict,EQ,global_btc,retuned,calibrated,467,2026-02,120,0.37009515235266743,0.007265156870794209
strict,EQ,global_btc,retuned,calibrated,467,2026-03,89,-26.275550269174875,-0.6645458566675089
strict,EQ,global_btc,fixed_full_spec,calibrated,467,2025-12,132,0.6430229079993577,0.013372821936336265
strict,EQ,global_btc,fixed_full_spec,calibrated,467,2026-01,126,1.235304561431727,0.014083020155130965
strict,EQ,global_btc,fixed_full_spec,calibrated,467,2026-02,120,0.37009515235266743,0.007265156870794209
strict,EQ,global_btc,fixed_full_spec,calibrated,467,2026-03,89,-18.32987385369913,-0.46358845382599023
strict,EQ,local_volume,retuned,calibrated,467,2025-12,132,2.5237600533193794,0.05248614533513951
strict,EQ,local_volume,retuned,calibrated,467,2026-01,126,2.691501148235309,0.030684307418264778
strict,EQ,local_volume,retuned,calibrated,467,2026-02,120,1.6857612046385917,0.03309235346786621
strict,EQ,local_volume,retuned,calibrated,467,2026-03,89,-0.20011841080069814,-0.005061277856338808
strict,EQ,local_volume,fixed_full_spec,calibrated,467,2025-12,132,2.5237600533193794,0.05248614533513951
strict,EQ,local_volume,fixed_full_spec,calibrated,467,2026-01,126,-0.6783127862325822,-0.00773306675798624
strict,EQ,local_volume,fixed_full_spec,calibrated,467,2026-02,120,1.9195729328188138,0.03768219711391896
strict,EQ,local_volume,fixed_full_spec,calibrated,467,2026-03,89,-0.20011841080069814,-0.005061277856338808
strict,EQ,fx_macro,retuned,calibrated,467,2025-12,132,0.9036117458208537,0.01879223714445999
strict,EQ,fx_macro,retuned,calibrated,467,2026-01,126,-0.5302615625801144,-0.006045217112006673
strict,EQ,fx_macro,retuned,calibrated,467,2026-02,120,0.26895909077830904,0.005279804325749815
strict,EQ,fx_macro,retuned,calibrated,467,2026-03,89,-5.520299984841481,-0.13961620003794195
strict,EQ,fx_macro,fixed_full_spec,calibrated,467,2025-12,132,0.9036117458208537,0.01879223714445999
strict,EQ,fx_macro,fixed_full_spec,calibrated,467,2026-01,126,-0.5302615625801144,-0.006045217112006673
strict,EQ,fx_macro,fixed_full_spec,calibrated,467,2026-02,120,0.26895909077830904,0.005279804325749815
strict,EQ,fx_macro,fixed_full_spec,calibrated,467,2026-03,89,-5.5202999848416034,-0.13961620003794506
