mode,definition,removed_group,procedure,calibration,n,block_days,difference_bp,removal_loss_increase_pct,increase_lo,increase_hi,inclusion_gain_pct,p_centered_boot,full_winning_months
available_macro,CAP,global_btc,retuned,raw,1088,1,-0.010577919019576373,-0.8152664630976414,-1.5859974035264104,-0.13740942086040236,-0.8219676900118156,0.029,0
available_macro,CAP,global_btc,retuned,raw,1088,5,-0.010577919019576373,-0.8152664630976414,-1.462834498019834,-0.21056785657797603,-0.8219676900118156,0.0035,0
available_macro,CAP,global_btc,retuned,raw,1088,10,-0.010577919019576373,-0.8152664630976414,-1.3328815318755378,-0.3236061775998832,-0.8219676900118156,0.0005,0
available_macro,CAP,global_btc,fixed_full_spec,raw,1088,1,-0.010577919019576373,-0.8152664630976414,-1.5859974035264104,-0.13740942086040236,-0.8219676900118156,0.029,0
available_macro,CAP,global_btc,fixed_full_spec,raw,1088,5,-0.010577919019576373,-0.8152664630976414,-1.462834498019834,-0.21056785657797603,-0.8219676900118156,0.0035,0
available_macro,CAP,global_btc,fixed_full_spec,raw,1088,10,-0.010577919019576373,-0.8152664630976414,-1.3328815318755378,-0.3236061775998832,-0.8219676900118156,0.0005,0
available_macro,CAP,local_volume,retuned,raw,1088,1,-0.004046696690014074,-0.31188895392286753,-0.540738866377175,-0.1016636652799208,-0.3128647445016952,0.0105,1
available_macro,CAP,local_volume,retuned,raw,1088,5,-0.004046696690014074,-0.31188895392286753,-0.5210464129563007,-0.10678146576623249,-0.3128647445016952,0.002,1
available_macro,CAP,local_volume,retuned,raw,1088,10,-0.004046696690014074,-0.31188895392286753,-0.5091197493434952,-0.11421121978620924,-0.3128647445016952,0.0005,1
available_macro,CAP,local_volume,fixed_full_spec,raw,1088,1,-0.004046696690014074,-0.31188895392286753,-0.540738866377175,-0.1016636652799208,-0.3128647445016952,0.0105,1
available_macro,CAP,local_volume,fixed_full_spec,raw,1088,5,-0.004046696690014074,-0.31188895392286753,-0.5210464129563007,-0.10678146576623249,-0.3128647445016952,0.002,1
available_macro,CAP,local_volume,fixed_full_spec,raw,1088,10,-0.004046696690014074,-0.31188895392286753,-0.5091197493434952,-0.11421121978620924,-0.3128647445016952,0.0005,1
available_macro,CAP,fx_macro,retuned,raw,1088,1,-0.042454424162551886,-3.2720678014073523,-4.866162676230629,-1.8106870828349853,-3.382753799274285,0.0005,1
available_macro,CAP,fx_macro,retuned,raw,1088,5,-0.042454424162551886,-3.2720678014073523,-4.355168660354205,-2.389740833185263,-3.382753799274285,0.0005,1
available_macro,CAP,fx_macro,retuned,raw,1088,10,-0.042454424162551886,-3.2720678014073523,-4.090946516347991,-2.5055697998258095,-3.382753799274285,0.0005,1
available_macro,CAP,fx_macro,fixed_full_spec,raw,1088,1,-0.042454424162552594,-3.272067801407408,-4.866162676230687,-1.8106870828350536,-3.3827537992743517,0.0005,1
available_macro,CAP,fx_macro,fixed_full_spec,raw,1088,5,-0.042454424162552594,-3.272067801407408,-4.35516866035429,-2.3897408331852916,-3.3827537992743517,0.0005,1
