mode,definition,fold,removed_group,kind,candidate,valid,loss_sum,n,reason,train_n,features,train_last_label,residualizer_fit_end,first_origin,last_label,warnings
available_macro,CAP,2025-08,fx_macro,linear,10,True,355.6836444789535,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,linear,11,True,355.74481282147076,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,12,True,390.9853633836068,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,13,True,357.1891749494007,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,14,True,360.2173170633421,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,15,True,390.98536338360407,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,16,True,358.3441196478264,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,17,True,355.74481282147076,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,18,True,390.9853633836068,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,19,True,357.1891749494007,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,interaction,20,True,360.2173170633421,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
