mode,definition,removed_group,procedure,calibration,n,seed,removal_loss_increase_pct
available_macro,CAP,global_btc,retuned,raw,1088,20260925,-0.8152664630976414
available_macro,CAP,global_btc,fixed_full_spec,raw,1088,20260925,-0.8152664630976414
available_macro,CAP,local_volume,retuned,raw,1088,20260925,-0.31188895392286753
available_macro,CAP,local_volume,fixed_full_spec,raw,1088,20260925,-0.31188895392286753
available_macro,CAP,fx_macro,retuned,raw,1088,20260925,-3.2720678014073523
available_macro,CAP,fx_macro,fixed_full_spec,raw,1088,20260925,-3.272067801407408
available_macro,CAP,global_btc,retuned,calibrated,1088,20260925,-0.0638820587014699
available_macro,CAP,global_btc,fixed_full_spec,calibrated,1088,20260925,-0.0638820587014699
available_macro,CAP,local_volume,retuned,calibrated,1088,20260925,0.01866364371874152
available_macro,CAP,local_volume,fixed_full_spec,calibrated,1088,20260925,0.01866364371874152
available_macro,CAP,fx_macro,retuned,calibrated,1088,20260925,-0.21185690683594993
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,1088,20260925,-0.21185690683596103
available_macro,EQ,global_btc,retuned,raw,1088,20260925,0.6935611561875943
available_macro,EQ,global_btc,retuned,raw,1088,20260926,0.3725721085821698
available_macro,EQ,global_btc,retuned,raw,1088,20260927,0.8166595471274629
available_macro,EQ,global_btc,retuned,raw,1088,20260928,0.538728692713808
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,20260925,0.6935611561875943
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,20260926,0.3725721085821698
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,20260927,0.8166595471274629
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,20260928,0.538728692713808
available_macro,EQ,local_volume,retuned,raw,1088,20260925,-0.20640110813859858
available_macro,EQ,local_volume,retuned,raw,1088,20260926,0.00946705780775492
available_macro,EQ,local_volume,retuned,raw,1088,20260927,-0.05817829846284095
available_macro,EQ,local_volume,retuned,raw,1088,20260928,-0.2171256479247763
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,20260925,-0.20640110813859858
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,20260926,0.00946705780775492
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,20260927,-0.05817829846284095
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,20260928,-0.2171256479247763
available_macro,EQ,fx_macro,retuned,raw,1088,20260925,2.242242586153975
available_macro,EQ,fx_macro,retuned,raw,1088,20260926,1.7718850184155421
available_macro,EQ,fx_macro,retuned,raw,1088,20260927,1.9357163326215288
available_macro,EQ,fx_macro,retuned,raw,1088,20260928,1.9393169368232765
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,20260925,-0.4698665135998259
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,20260926,-0.6104638988360778
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,20260927,-0.3932076312143318
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,20260928,-0.7006736177382789
available_macro,EQ,global_btc,retuned,calibrated,1088,20260925,0.5913018135185633
