mode,definition,removed_group,procedure,calibration,fold,n,loss_bp,below_rate
available_macro,EQ,global_btc,fixed_full_spec,raw,2026-01,294,1.5673157418218273,0.20748299319727892
available_macro,EQ,global_btc,fixed_full_spec,raw,2026-02,280,2.1274326532643864,0.20892857142857144
available_macro,EQ,global_btc,fixed_full_spec,raw,2026-03,201,1.80896013630037,0.1256218905472637
available_macro,EQ,global_btc,retuned,raw,2025-12,313,1.6850243663540296,0.17891373801916932
available_macro,EQ,global_btc,retuned,raw,2026-01,294,1.5673157418218273,0.20748299319727892
available_macro,EQ,global_btc,retuned,raw,2026-02,280,2.1274326532643864,0.20892857142857144
available_macro,EQ,global_btc,retuned,raw,2026-03,201,1.80896013630037,0.1256218905472637
available_macro,EQ,local_volume,fixed_full_spec,raw,2025-12,313,1.6741905012232106,0.17412140575079874
available_macro,EQ,local_volume,fixed_full_spec,raw,2026-01,294,1.5580430301974773,0.20748299319727892
available_macro,EQ,local_volume,fixed_full_spec,raw,2026-02,280,2.1155535792560634,0.21428571428571427
available_macro,EQ,local_volume,fixed_full_spec,raw,2026-03,201,1.786277598721225,0.12313432835820895
available_macro,EQ,local_volume,retuned,raw,2025-12,313,1.6741905012232106,0.17412140575079874
available_macro,EQ,local_volume,retuned,raw,2026-01,294,1.5580430301974773,0.20748299319727892
available_macro,EQ,local_volume,retuned,raw,2026-02,280,2.1155535792560634,0.21428571428571427
available_macro,EQ,local_volume,retuned,raw,2026-03,201,1.786277598721225,0.12313432835820895
available_macro,EQ,none,full,raw,2025-12,313,1.671774386480536,0.17971246006389777
available_macro,EQ,none,full,raw,2026-01,294,1.5741117824312987,0.20748299319727892
available_macro,EQ,none,full,raw,2026-02,280,2.1098695424102103,0.21160714285714285
available_macro,EQ,none,full,raw,2026-03,201,1.785826980124123,0.12437810945273632
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,2025-12,313,1.625556371627612,0.09904153354632587
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,2026-01,294,1.423649159614423,0.1096938775510204
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,2026-02,280,1.8710864138530319,0.10892857142857143
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,2026-03,201,1.8841277450969538,0.08582089552238806
available_macro,EQ,fx_macro,retuned,calibrated,2025-12,313,1.6837475429625213,0.0902555910543131
available_macro,EQ,fx_macro,retuned,calibrated,2026-01,294,1.426060042207029,0.1054421768707483
available_macro,EQ,fx_macro,retuned,calibrated,2026-02,280,1.8710864138530319,0.10892857142857143
available_macro,EQ,fx_macro,retuned,calibrated,2026-03,201,1.91449102667773,0.08333333333333333
available_macro,EQ,global_btc,fixed_full_spec,calibrated,2025-12,313,1.6350170448732673,0.10063897763578275
available_macro,EQ,global_btc,fixed_full_spec,calibrated,2026-01,294,1.4333526175444578,0.11479591836734694
available_macro,EQ,global_btc,fixed_full_spec,calibrated,2026-02,280,1.8866038160938348,0.11071428571428571
available_macro,EQ,global_btc,fixed_full_spec,calibrated,2026-03,201,1.909424786457734,0.08706467661691543
available_macro,EQ,global_btc,retuned,calibrated,2025-12,313,1.6350170448732673,0.10063897763578275
available_macro,EQ,global_btc,retuned,calibrated,2026-01,294,1.4333526175444578,0.11479591836734694
available_macro,EQ,global_btc,retuned,calibrated,2026-02,280,1.8866038160938348,0.11071428571428571
available_macro,EQ,global_btc,retuned,calibrated,2026-03,201,1.909424786457734,0.08706467661691543
available_macro,EQ,local_volume,fixed_full_spec,calibrated,2025-12,313,1.631882329582137,0.09904153354632587
available_macro,EQ,local_volume,fixed_full_spec,calibrated,2026-01,294,1.4294849817480095,0.10884353741496598
available_macro,EQ,local_volume,fixed_full_spec,calibrated,2026-02,280,1.8862358170832332,0.10535714285714286
available_macro,EQ,local_volume,fixed_full_spec,calibrated,2026-03,201,1.899040434871752,0.08582089552238806
available_macro,EQ,local_volume,retuned,calibrated,2025-12,313,1.6480722884676435,0.09424920127795527
available_macro,EQ,local_volume,retuned,calibrated,2026-01,294,1.4294849817480095,0.10884353741496598
available_macro,EQ,local_volume,retuned,calibrated,2026-02,280,1.8862358170832332,0.10535714285714286
available_macro,EQ,local_volume,retuned,calibrated,2026-03,201,1.899040434871752,0.08582089552238806
available_macro,EQ,none,full,calibrated,2025-12,313,1.6315701526278965,0.09824281150159744
available_macro,EQ,none,full,calibrated,2026-01,294,1.4437279720771632,0.1096938775510204
available_macro,EQ,none,full,calibrated,2026-02,280,1.8817502910082322,0.10625
available_macro,EQ,none,full,calibrated,2026-03,201,1.8818362990894915,0.0845771144278607
available_macro,PCA,fx_macro,fixed_full_spec,raw,2025-12,313,1.6606943047997456,0.1757188498402556
available_macro,PCA,fx_macro,fixed_full_spec,raw,2026-01,294,1.5341165003395103,0.20408163265306123
available_macro,PCA,fx_macro,fixed_full_spec,raw,2026-02,280,1.8752301677987298,0.18571428571428572
available_macro,PCA,fx_macro,fixed_full_spec,raw,2026-03,201,1.7388330181005087,0.10945273631840796
available_macro,PCA,fx_macro,retuned,raw,2025-12,313,1.7122285238739847,0.16932907348242812
available_macro,PCA,fx_macro,retuned,raw,2026-01,294,1.5341165003395103,0.20408163265306123
available_macro,PCA,fx_macro,retuned,raw,2026-02,280,2.0693375463699293,0.21071428571428572
available_macro,PCA,fx_macro,retuned,raw,2026-03,201,1.846441221997247,0.13432835820895522
